model,R_squared,adj_R_squared,F_stat,p_value,ci_lower,ci_upper,cohens_f2
Demographics,0.043700809287748665,0.013816459577990825,1.46233094285734,0.2296975049987059,0.006954262391048757,0.1764203643208332,0.045697841964291865
Cognitive,0.3006725129729091,0.239193173454044,4.8906269215961045,4.847095656198638e-05,0.2204536683862529,0.5045146049391989,0.4299452238765806
