composite_ID,theta_What,theta_Where,theta_When,UID,test,Age,TSVR_hours
A094_T3,-1.1084818,-1.297069,-1.2907438,A094,T3,60.0,76.21
A094_T4,-1.2153608,-0.9864897,-1.2585236,A094,T4,60.0,149.99
A095_T1,-0.24935532,-0.24886794,0.33855438,A095,T1,61.0,1.0
A095_T2,-0.9429458,-0.7041991,-0.9394098,A095,T2,61.0,29.71
A095_T3,-0.5604514,-0.6586784,-0.44877037,A095,T3,61.0,78.76
A095_T4,-1.0292403,-1.0800077,-1.0462689,A095,T4,61.0,148.79
A096_T1,-0.7722609,-0.21997853,0.03505868,A096,T1,60.0,1.0
A096_T2,-0.9537298,-0.8806961,0.053854737,A096,T2,60.0,24.49
A096_T3,-0.642855,-0.8012751,-0.26232097,A096,T3,60.0,71.19
A096_T4,-0.8880069,-0.45656487,0.01525935,A096,T4,60.0,143.66
A097_T1,-1.0316466,-0.858112,-0.76184154,A097,T1,64.0,1.0
A097_T2,-2.4364095,-2.0705633,-1.9999062,A097,T2,64.0,24.37
A097_T3,-1.826925,-1.7153888,-1.6018606,A097,T3,64.0,70.83
A097_T4,-2.2625446,-2.2418253,-2.168877,A097,T4,64.0,144.85
A098_T1,-0.32570514,-0.352764,-0.113549925,A098,T1,60.0,1.0
A098_T2,-0.47275475,-0.61451584,-0.2635758,A098,T2,60.0,25.77
A098_T3,-0.38767546,-0.14431314,-0.5267351,A098,T3,60.0,78.84
A098_T4,-0.56587017,-0.5530048,-0.1797722,A098,T4,60.0,146.29
A099_T1,-0.1933334,-0.34824362,-0.2057989,A099,T1,63.0,1.0
A099_T2,-0.42159227,-0.41765174,-0.42506936,A099,T2,63.0,28.75
A099_T3,-0.41357124,-0.23385498,-0.6174337,A099,T3,63.0,78.57
A099_T4,0.018703647,0.05186575,0.09978434,A099,T4,63.0,143.51
A100_T1,-1.2776049,-0.9276766,-0.94457746,A100,T1,66.0,1.0
A100_T2,-1.4885942,-1.2011194,-1.3038135,A100,T2,66.0,31.14
A100_T3,-1.2015793,-1.00375,-1.2467386,A100,T3,66.0,75.34
A100_T4,-2.177189,-2.254093,-2.0015745,A100,T4,66.0,146.8
A101_T1,-1.1531101,-1.1271902,-0.8632901,A101,T1,69.0,1.0
A101_T2,-1.1507939,-0.9139338,-1.3611658,A101,T2,69.0,29.12
A101_T3,-2.0616903,-2.257844,-2.0871842,A101,T3,69.0,75.21
A101_T4,-2.4006252,-2.1047175,-2.190017,A101,T4,69.0,150.22
A102_T1,-0.4659688,-0.6318408,-0.58967227,A102,T1,68.0,1.0
A102_T2,-0.5725646,-0.42629144,-0.26417938,A102,T2,68.0,29.13
A102_T3,-0.70983475,-0.7458047,-0.5259363,A102,T3,68.0,75.27
A102_T4,-0.7002248,-0.6005884,-0.81930107,A102,T4,68.0,150.41
A103_T1,-1.6476277,-1.7276977,-1.5576677,A103,T1,68.0,1.0
A103_T2,-2.0595725,-2.1003845,-2.303992,A103,T2,68.0,27.26
A103_T3,-2.1543787,-2.2404468,-2.1220315,A103,T3,68.0,80.24
A103_T4,-2.3034658,-2.2445917,-1.9389676,A103,T4,68.0,149.72
A104_T1,-0.23795481,-0.096845455,-0.34517285,A104,T1,66.0,1.0
A104_T2,-0.18667741,-0.2953946,-0.3427015,A104,T2,66.0,22.6
A104_T3,-0.5396037,-0.37600604,-0.51570475,A104,T3,66.0,72.62
A104_T4,-1.1808013,-1.406939,-1.0981561,A104,T4,66.0,145.78
A105_T1,0.14666553,0.107473895,0.012118798,A105,T1,68.0,1.0
A105_T2,-0.09143283,-0.20604235,-0.14038579,A105,T2,68.0,22.77
A105_T3,-0.7008655,-0.58831054,-0.7484463,A105,T3,68.0,69.46
A105_T4,-0.5656953,-0.82229865,-0.31278455,A105,T4,68.0,146.2
A106_T1,-0.2363908,-0.06138464,-0.3489107,A106,T1,66.0,1.0
A106_T2,-0.50482,-0.7756045,-0.76727813,A106,T2,66.0,22.64
A106_T3,-0.4244297,-0.5837823,-0.4255983,A106,T3,66.0,66.08
A106_T4,-0.25632027,-0.6719219,-0.22757661,A106,T4,66.0,147.13
A107_T1,-2.2529342,-1.8828845,-2.087243,A107,T1,70.0,1.0
A107_T2,-2.5128634,-2.361064,-2.2273915,A107,T2,70.0,26.22
A107_T3,-1.9072479,-1.4767938,-1.4606197,A107,T3,70.0,71.45
A107_T4,-2.1943111,-2.3700135,-2.0688787,A107,T4,70.0,145.95
A108_T1,-0.7291451,-0.9310122,-0.32233924,A108,T1,69.0,1.0
A108_T2,-1.0643289,-1.1488962,-0.66837287,A108,T2,69.0,27.61
A108_T3,-1.0438112,-1.0102834,-0.6591243,A108,T3,69.0,68.96
A108_T4,-1.1844062,-0.9659984,-0.5945612,A108,T4,69.0,152.12
A109_T1,-1.0555787,-1.5084882,-1.2476219,A109,T1,68.0,1.0
A109_T2,-1.3236896,-2.0305598,-1.3785945,A109,T2,68.0,24.65
A109_T3,-0.97737586,-1.1609657,-0.8367427,A109,T3,68.0,71.17
A109_T4,-2.326117,-2.159722,-2.1815023,A109,T4,68.0,149.87
