composite_ID,theta_What,theta_Where,theta_When,UID,test,Age,TSVR_hours
A029_T2,-0.28048995,-0.15864953,-0.4085433,A029,T2,25.0,28.43
A029_T3,-0.26848072,-0.47460964,-0.27994117,A029,T3,25.0,93.26
A029_T4,-0.5393232,-0.4180649,-0.51977456,A029,T4,25.0,143.14
A030_T1,-0.77442324,-0.6236615,-0.5542161,A030,T1,31.0,1.0
A030_T2,-0.60881066,-0.2575324,-0.55999696,A030,T2,31.0,32.95
A030_T3,-0.6840649,-0.6491758,-1.0542847,A030,T3,31.0,71.93
A030_T4,-0.4550996,-0.5578966,-0.41088024,A030,T4,31.0,150.46
A031_T1,0.2638275,-0.0035324944,0.44419822,A031,T1,32.0,1.0
A031_T2,-0.4018008,-0.19972831,-0.6096085,A031,T2,32.0,32.41
A031_T3,-0.7150441,-0.94005686,-0.7037352,A031,T3,32.0,71.56
A031_T4,-1.270624,-1.1272513,-1.2458041,A031,T4,32.0,143.85
A032_T1,-0.32446685,-0.3360491,-0.069407284,A032,T1,33.0,1.0
A032_T2,-0.7612248,-0.5707413,-0.5397725,A032,T2,33.0,57.18
A032_T3,-0.6971033,-0.49220014,-0.099494,A032,T3,33.0,80.16
A032_T4,-0.60140634,-0.48205373,0.01084882,A032,T4,33.0,144.51
A033_T1,-0.5664332,-0.3546501,-0.2103071,A033,T1,32.0,1.0
A033_T2,-0.58645725,-0.6500345,-0.4873249,A033,T2,32.0,29.16
A033_T3,-0.24209799,-0.36226928,0.13898459,A033,T3,32.0,72.6
A033_T4,-0.44846633,-0.85558045,-0.38317016,A033,T4,32.0,168.33
A034_T1,-0.035272777,-0.035111323,0.32451737,A034,T1,33.0,1.0
A034_T2,0.07378795,-0.23034386,0.2160329,A034,T2,33.0,26.08
A034_T3,-0.32593602,-0.38596812,-0.31449008,A034,T3,33.0,74.28
A034_T4,-0.5804641,-0.90760684,-0.37914577,A034,T4,33.0,145.38
A035_T1,-0.71035606,-0.48868048,-0.83557534,A035,T1,34.0,1.0
A035_T2,-0.21037312,-0.544072,-0.32599938,A035,T2,34.0,44.76
A035_T3,-0.7377237,-0.6989289,-1.0136437,A035,T3,34.0,79.98
