age_tertile,Domain,test,TSVR_hours,mean_theta,se_theta,N,CI_lower,CI_upper
Middle,What,T1,1.0,-0.508881531617647,0.05981983143540442,34,-0.6261284012310397,-0.3916346620042544
Middle,What,T2,30.19794117647059,-0.725323001117647,0.0753446263715146,34,-0.8729984688058157,-0.5776475334294784
Middle,What,T3,78.21823529411765,-0.9546865326470588,0.08788858237958275,34,-1.126948154111041,-0.7824249111830767
Middle,What,T4,150.68088235294118,-1.0446061779411764,0.08396965618045993,34,-1.2091867040548778,-0.8800256518274749
Middle,When,T1,1.0,-0.2941005067058824,0.06685400408931144,34,-0.4251343547209328,-0.16306665869083198
Middle,When,T2,30.19794117647059,-0.7317788795,0.08755556406194312,34,-0.9033877850614085,-0.5601699739385915
Middle,When,T3,78.21823529411765,-0.9521898464764705,0.09810497806242045,34,-1.1444756034788146,-0.7599040894741265
Middle,When,T4,150.68088235294118,-0.9010782437058823,0.09810436988760368,34,-1.0933628086855856,-0.708793678726179
Middle,Where,T1,1.0,-0.48911849382352945,0.062442991700949,34,-0.6115067575573895,-0.36673023008966943
Middle,Where,T2,30.19794117647059,-0.7552571497647059,0.07823016738621076,34,-0.908588277841679,-0.6019260216877329
Middle,Where,T3,78.21823529411765,-0.9597703279411766,0.08642197575349624,34,-1.1291574004180291,-0.790383255464324
Middle,Where,T4,150.68088235294118,-1.0968259114705883,0.08511694709565723,34,-1.2636551277780765,-0.9299966951631001
Older,What,T1,1.0,-0.6262024718181818,0.0982551964372318,33,-0.8187826568351562,-0.43362228680120746
Older,What,T2,26.406363636363636,-0.8624208972727273,0.11141643559237557,33,-1.0807971110337835,-0.6440446835116712
Older,What,T3,77.23575757575757,-1.0195170042424242,0.10609789865276145,33,-1.2274688856018368,-0.8115651228830117
Older,What,T4,152.58666666666664,-1.214615857060606,0.12891010770471478,33,-1.467279668161847,-0.9619520459593651
Older,When,T1,1.0,-0.44449480784848483,0.10814370480651961,33,-0.6564564692692633,-0.2325331464277064
Older,When,T2,26.406363636363636,-0.8162131931818182,0.11165770635476714,33,-1.0350622976371617,-0.5973640887264746
Older,When,T3,77.23575757575757,-0.9473597995757576,0.107245252817407,33,-1.1575604950978753,-0.7371591040536398
Older,When,T4,152.58666666666664,-1.094407972909091,0.1292721859022562,33,-1.347781457277513,-0.8410344885406689
Older,Where,T1,1.0,-0.6192308733333334,0.0885538612063759,33,-0.7927964412978301,-0.44566530536883664
Older,Where,T2,26.406363636363636,-0.8468259035151515,0.10810544917808554,33,-1.058712583904199,-0.6349392231261038
Older,Where,T3,77.23575757575757,-0.9726937615151514,0.10244210129854235,33,-1.1734802800602944,-0.7719072429700085
Older,Where,T4,152.58666666666664,-1.1253100136363636,0.12049902404787753,33,-1.3614881007702035,-0.8891319265025237
Young,What,T1,1.0,-0.4483374903939394,0.07168409478055587,33,-0.5888383161638289,-0.3078366646240499
Young,What,T2,29.661515151515154,-0.5649396006060606,0.0843604368352037,33,-0.7302860568030598,-0.3995931444090614
Young,What,T3,80.56393939393939,-0.6839930824242425,0.07991365027875591,33,-0.840623836970604,-0.527362327877881
Young,What,T4,150.8790909090909,-0.9492017469696971,0.10448246940509842,33,-1.1539873870036899,-0.7444161069357041
Young,When,T1,1.0,-0.29865317254545454,0.09119062707701879,33,-0.47738680161641134,-0.11991954347449771
Young,When,T2,29.661515151515154,-0.5200224566333334,0.09636209631595088,33,-0.708892165412597,-0.3311527478540696
Young,When,T3,80.56393939393939,-0.7024561751515151,0.09073979073183448,33,-0.8803061649859107,-0.5246061853171196
Young,When,T4,150.8790909090909,-0.900109065,0.1070768283737168,33,-1.1099796486124849,-0.6902384813875151
Young,Where,T1,1.0,-0.3757707216787879,0.08948582764599673,33,-0.5511629438649415,-0.2003784994926343
Young,Where,T2,29.661515151515154,-0.6139829919393939,0.09654360925894111,33,-0.8032084660869184,-0.4247575177918693
Young,Where,T3,80.56393939393939,-0.6998734963636364,0.08899990831456228,33,-0.8743133166601784,-0.5254336760670943
Young,Where,T4,150.8790909090909,-0.9492859062424243,0.09792163282681449,33,-1.1412123065829807,-0.7573595059018678
