UID,test,composite_ID,Age,Age_c,TSVR_hours,log_TSVR,Domain,theta_confidence
A028,T3,A028_T3,26.0,-18.57,72.26,4.294014757350668,What,-0.5752383
A028,T4,A028_T4,26.0,-18.57,138.91,4.940999358745194,What,-0.7432959
A029,T1,A029_T1,25.0,-19.57,1.0,0.6931471805599453,What,0.19529736
A029,T2,A029_T2,25.0,-19.57,28.43,3.382014562245381,What,-0.28048995
A029,T3,A029_T3,25.0,-19.57,93.26,4.546056921495585,What,-0.26848072
A029,T4,A029_T4,25.0,-19.57,143.14,4.970785049496295,What,-0.5393232
A030,T1,A030_T1,31.0,-13.57,1.0,0.6931471805599453,What,-0.77442324
A030,T2,A030_T2,31.0,-13.57,32.95,3.5248888540047054,What,-0.60881066
A030,T3,A030_T3,31.0,-13.57,71.93,4.289500076996142,What,-0.6840649
A030,T4,A030_T4,31.0,-13.57,150.46,5.020321563685677,What,-0.4550996
A031,T1,A031_T1,32.0,-12.57,1.0,0.6931471805599453,What,0.2638275
A031,T2,A031_T2,32.0,-12.57,32.41,3.508855256368665,What,-0.4018008
A031,T3,A031_T3,32.0,-12.57,71.56,4.2844138058068815,What,-0.7150441
A031,T4,A031_T4,32.0,-12.57,143.85,4.975698724215359,What,-1.270624
A032,T1,A032_T1,33.0,-11.57,1.0,0.6931471805599453,What,-0.32446685
A032,T2,A032_T2,33.0,-11.57,57.18,4.063541653067055,What,-0.7612248
A032,T3,A032_T3,33.0,-11.57,80.16,4.396422514957614,What,-0.6971033
A032,T4,A032_T4,33.0,-11.57,144.51,4.980244812772187,What,-0.60140634
A033,T1,A033_T1,32.0,-12.57,1.0,0.6931471805599453,What,-0.5664332
A033,T2,A033_T2,32.0,-12.57,29.16,3.4065165431397553,What,-0.58645725
A033,T3,A033_T3,32.0,-12.57,72.6,4.298645025734831,What,-0.24209799
A033,T4,A033_T4,32.0,-12.57,168.33,5.131849473677249,What,-0.44846633
A034,T1,A034_T1,33.0,-11.57,1.0,0.6931471805599453,What,-0.035272777
A034,T2,A034_T2,33.0,-11.57,26.08,3.298795448044074,What,0.07378795
A034,T3,A034_T3,33.0,-11.57,74.28,4.3212144952771245,What,-0.32593602
A034,T4,A034_T4,33.0,-11.57,145.38,4.986205980173081,What,-0.5804641
A035,T1,A035_T1,34.0,-10.57,1.0,0.6931471805599453,What,-0.71035606
A035,T2,A035_T2,34.0,-10.57,44.76,3.8234103470715426,What,-0.21037312
A035,T3,A035_T3,34.0,-10.57,79.98,4.394202210604015,What,-0.7377237
A035,T4,A035_T4,34.0,-10.57,152.47,5.033505108187003,What,-1.0032879
A036,T1,A036_T1,30.0,-14.57,1.0,0.6931471805599453,What,-1.4230407
A036,T2,A036_T2,30.0,-14.57,21.63,3.119276459645446,What,-2.1549456
A036,T3,A036_T3,30.0,-14.57,71.47,4.28317268312119,What,-1.8325033
A036,T4,A036_T4,30.0,-14.57,143.85,4.975698724215359,What,-2.2474222
A037,T1,A037_T1,31.0,-13.57,1.0,0.6931471805599453,What,-0.39597678
A037,T2,A037_T2,31.0,-13.57,23.7,3.2068032436339315,What,-0.5082488
A037,T3,A037_T3,31.0,-13.57,72.08,4.291554731509806,What,-0.68401986
A037,T4,A037_T4,31.0,-13.57,143.66,4.974386161421135,What,-0.80795884
A038,T1,A038_T1,32.0,-12.57,1.0,0.6931471805599453,What,-0.45616615
A038,T2,A038_T2,32.0,-12.57,71.85,4.288402532641213,What,-0.3251796
A038,T3,A038_T3,32.0,-12.57,72.86,4.3021714094244174,What,-0.57717633
A038,T4,A038_T4,32.0,-12.57,152.89,5.0362380614757605,What,-0.43558908
A039,T1,A039_T1,31.0,-13.57,1.0,0.6931471805599453,What,0.064273424
A039,T2,A039_T2,31.0,-13.57,28.65,3.3894621254437345,What,0.10130654
A039,T3,A039_T3,31.0,-13.57,98.84,4.603568904621118,What,-0.23081385
A039,T4,A039_T4,31.0,-13.57,246.24,5.510359524791073,What,-0.58008456
A040,T1,A040_T1,38.0,-6.57,1.0,0.6931471805599453,What,-0.6970588
A040,T2,A040_T2,38.0,-6.57,26.26,3.3054204262683866,What,-0.7691323
A040,T3,A040_T3,38.0,-6.57,71.28,4.280547465724028,What,-0.77506536
A040,T4,A040_T4,38.0,-6.57,143.53,4.97348709846075,What,-1.1014721
A041,T1,A041_T1,35.0,-9.57,1.0,0.6931471805599453,What,-0.14199288
A041,T2,A041_T2,35.0,-9.57,31.78,3.4898185733156835,What,-0.319344
A041,T3,A041_T3,35.0,-9.57,75.74,4.340423084818807,What,-0.23154925
A041,T4,A041_T4,35.0,-9.57,141.84,4.961725122726247,What,-0.62750417
A042,T1,A042_T1,38.0,-6.57,1.0,0.6931471805599453,What,-0.7107582
A042,T2,A042_T2,38.0,-6.57,28.93,3.3988613218646075,What,-1.0012134
A042,T3,A042_T3,38.0,-6.57,72.17,4.292785500895938,What,-0.912052
A042,T4,A042_T4,38.0,-6.57,146.02,4.9905686319459415,What,-1.1347266
A043,T1,A043_T1,38.0,-6.57,1.0,0.6931471805599453,What,0.04892652
A043,T2,A043_T2,38.0,-6.57,25.62,3.2816628129669656,What,-0.10843749
A043,T3,A043_T3,38.0,-6.57,64.94,4.188745237643585,What,-0.13326636
A043,T4,A043_T4,38.0,-6.57,149.33,5.012832877639743,What,-0.484459
A044,T1,A044_T1,38.0,-6.57,1.0,0.6931471805599453,What,-1.1892142
A044,T2,A044_T2,38.0,-6.57,47.66,3.8848573373553763,What,-1.0392059
A044,T3,A044_T3,38.0,-6.57,91.63,4.5286130632659365,What,-1.1329389
A044,T4,A044_T4,38.0,-6.57,155.27,5.0515852804252095,What,-1.6890951
A045,T1,A045_T1,37.0,-7.57,1.0,0.6931471805599453,What,-0.6257483
A045,T2,A045_T2,37.0,-7.57,24.66,3.2449333591874905,What,-0.593401
A045,T3,A045_T3,37.0,-7.57,72.23,4.2936051730729785,What,-0.7782343
A045,T4,A045_T4,37.0,-7.57,151.52,5.027295734989363,What,-0.9648333
A046,T1,A046_T1,38.0,-6.57,1.0,0.6931471805599453,What,-0.9063086
A046,T2,A046_T2,38.0,-6.57,24.32,3.2315945972759756,What,-1.1701665
A046,T3,A046_T3,38.0,-6.57,73.05,4.304740540713808,What,-1.9860176
A046,T4,A046_T4,38.0,-6.57,147.94,5.003543540282499,What,-1.0147238
A047,T1,A047_T1,36.0,-8.57,1.0,0.6931471805599453,What,-1.0830257
A047,T2,A047_T2,36.0,-8.57,23.46,3.1970391302590264,What,-0.6639803
A047,T3,A047_T3,36.0,-8.57,76.85,4.354783898280007,What,-1.4815022
A047,T4,A047_T4,36.0,-8.57,144.22,4.978249833952101,What,-2.0934942
A048,T1,A048_T1,38.0,-6.57,1.0,0.6931471805599453,What,-0.6284435
A048,T2,A048_T2,38.0,-6.57,23.91,3.215269329274089,What,-0.5796271
A048,T3,A048_T3,38.0,-6.57,81.15,4.408546844483277,What,-0.760365
A048,T4,A048_T4,38.0,-6.57,146.3,4.9924713234685845,What,-0.58579195
