term,estimate,se,z_value,p_uncorrected,p_bonferroni,sig_uncorrected,sig_bonferroni
TSVR_hours:Age_c:C(Domain)[T.When],1.3791667693651898e-05,2.2480654337054973e-05,0.6134904921748218,0.5395520675819028,1.0,False,False
TSVR_hours:Age_c:C(Domain)[T.Where],2.5088495810156333e-05,2.2480654337054976e-05,1.116003806384,0.26442050529369376,0.5288410105873875,False,False
