model,converged,log_likelihood,aic,bic,delta_aic,delta_bic,random_slope_var,random_slope_sd
Intercepts_Only,True,-431.80598086236205,891.6119617247241,962.8730374255894,0.0,0.0,0.0,0.0
Intercepts_Slopes,True,-359.29126259454915,750.5825251890983,832.0237545615157,141.0294365356258,130.84928286407364,5.850681641158724e-06,0.002418818232352056
