iteration,Delta_f2
0,-0.00553418620216314
1,-0.008793066707752865
2,-0.005390876550227508
3,-0.0013600393467341695
4,-0.012010719869925477
5,-0.01533738752543789
6,-0.010580925127984295
7,-0.0012365128445818302
8,-0.006289582949536536
9,-0.005753904064302398
10,-0.0064666937391881125
11,-0.008204574522259544
12,-0.0062969564670172316
13,-0.008764201446948484
14,-0.0014381501665711493
15,-0.004779169781492515
16,0.00807023942963081
17,-0.0040817369655739705
18,-0.0021264989134235305
19,-0.01644425024471506
20,-0.011520155889580084
21,-0.01413008568484195
22,-0.007105649113683766
23,-0.0009267873902503851
24,-0.013077170176461119
25,-0.004286495661216931
26,-0.000500419324061899
27,0.0004085877419144051
28,-0.00078418817216742
29,-0.00898205321913268
30,-0.012798746624188163
31,-0.013964308346770454
32,-0.00340366594979295
33,-0.008223536208539751
34,-0.005311818550218988
35,-0.0023642501036670663
36,0.003013655254640423
37,-0.003080212401606764
38,0.0027250412971412874
39,-0.006338332164935047
40,-0.0010773049644298574
41,-0.004127703419069346
42,-0.008795464700736855
43,0.008360680967120993
44,0.001438155285817153
45,-0.01807402542181847
46,-0.007489853381382422
47,-0.007407925211019202
48,-0.011325678641348917
49,-0.012522332980182613
50,-0.006512922110938576
51,-0.008791137345827787
52,-0.0190687709970074
53,-0.005147174317628474
54,-0.0010678317929271423
55,0.0006883975804526515
56,-0.0010315124829969689
57,-0.0024162927751192973
58,-0.004826175412526432
59,-0.004131325763035362
60,-0.013892459949548807
61,-0.0008971906423937788
62,-0.0026889306624377062
63,-0.012572001125001725
64,-0.003504634331221085
65,0.0009248293139109132
66,-0.007411800054938949
67,0.0019856802741792332
68,-0.016845429913332863
69,0.007859311643078822
70,-0.007485558819512402
71,-0.010936295613016647
72,0.0007661500826867205
73,-0.010609962338208793
74,-0.008706882687528467
75,-0.018385385095833692
76,-0.004265566151151775
77,0.0008475287414702031
78,-0.005469031045074561
79,-0.011427954145681726
80,-0.01322118162028289
81,0.0006285038436487193
82,-0.016352088020533784
83,-0.0011917989396641416
84,-0.002291202136384859
85,-0.014993797648309425
86,-0.01032159980736152
87,-0.005816074338449028
88,-0.0020206367417556987
89,0.0010379299154375903
90,-0.010023129596578782
91,-0.003298843174139759
92,-0.00038743491644189793
93,-0.009775074948637153
94,-0.005103550910786553
95,-0.014643871809300813
96,-0.009348304919420621
97,-0.008246719055252032
98,-0.006112318653899041
99,-0.0028215440381833493
100,-0.006913241770039925
101,-0.013304098712370909
102,-0.0046796515077825816
103,0.0037356126417611712
104,-0.002209195285460518
105,-0.006352885087302096
106,0.005832468443129463
107,-0.003599219675488801
108,-0.006207857875524728
109,0.0071078423561731635
110,0.004530835910272935
111,-0.020057797985079593
112,-0.014039178403948138
113,-0.0024023436047785245
114,-0.0060482057865726795
115,0.0002298732939891128
116,-0.008461863226587625
117,-0.0041297991259130785
118,-0.0031276556124320704
119,0.0009362002325553655
120,-0.011182927420335635
121,0.0028732546588859705
122,-0.004188571488849513
123,-0.007591515040721432
124,-0.009406674340961794
125,-0.009888808116363192
