UID,location,TSVR_hours,test,theta,se,measure
A021,source,148.0,4,1.0062183,0.5,accuracy
A022,source,1.0,1,0.1581856,0.5,accuracy
A022,source,26.0,2,0.90218073,0.5,accuracy
A022,source,74.0,3,0.64592147,0.5,accuracy
A022,source,148.0,4,0.74378496,0.5,accuracy
A023,source,1.0,1,0.8170031,0.5,accuracy
A023,source,26.0,2,0.5076978,0.5,accuracy
A023,source,74.0,3,0.6582759,0.5,accuracy
A023,source,148.0,4,-0.32591987,0.5,accuracy
A024,source,1.0,1,0.31113845,0.5,accuracy
A024,source,26.0,2,0.54446435,0.5,accuracy
A024,source,74.0,3,-0.2945651,0.5,accuracy
A024,source,148.0,4,-1.4681152,0.5,accuracy
A025,source,1.0,1,1.0412298,0.5,accuracy
A025,source,26.0,2,1.480383,0.5,accuracy
A025,source,74.0,3,0.13729797,0.5,accuracy
A025,source,148.0,4,-0.3094319,0.5,accuracy
A026,source,1.0,1,0.8561924,0.5,accuracy
A026,source,26.0,2,-0.1953155,0.5,accuracy
A026,source,74.0,3,0.7336966,0.5,accuracy
A026,source,148.0,4,-0.42854974,0.5,accuracy
A027,source,1.0,1,0.59530455,0.5,accuracy
A027,source,26.0,2,0.7602098,0.5,accuracy
A027,source,74.0,3,-0.47716057,0.5,accuracy
A027,source,148.0,4,-0.4226555,0.5,accuracy
A028,source,1.0,1,1.1920228,0.5,accuracy
A028,source,26.0,2,-0.37323314,0.5,accuracy
A028,source,74.0,3,0.4525285,0.5,accuracy
A028,source,148.0,4,-1.4747403,0.5,accuracy
A029,source,1.0,1,1.4011933,0.5,accuracy
A029,source,26.0,2,0.22787775,0.5,accuracy
A029,source,74.0,3,1.1538624,0.5,accuracy
A029,source,148.0,4,-0.056302976,0.5,accuracy
A030,source,1.0,1,0.77168596,0.5,accuracy
A030,source,26.0,2,1.0246594,0.5,accuracy
A030,source,74.0,3,0.54660773,0.5,accuracy
A030,source,148.0,4,1.3088306,0.5,accuracy
A031,source,1.0,1,1.2707294,0.5,accuracy
A031,source,26.0,2,-0.06876846,0.5,accuracy
A031,source,74.0,3,-0.23774107,0.5,accuracy
A031,source,148.0,4,-1.0014096,0.5,accuracy
A032,source,1.0,1,0.95065767,0.5,accuracy
A032,source,26.0,2,-0.558087,0.5,accuracy
A032,source,74.0,3,0.03167592,0.5,accuracy
A032,source,148.0,4,1.2263699,0.5,accuracy
A033,source,1.0,1,0.01302593,0.5,accuracy
A033,source,26.0,2,0.11565804,0.5,accuracy
A033,source,74.0,3,1.0797325,0.5,accuracy
A033,source,148.0,4,-0.57237154,0.5,accuracy
A034,source,1.0,1,1.4213097,0.5,accuracy
A034,source,26.0,2,1.3198788,0.5,accuracy
A034,source,74.0,3,0.29753846,0.5,accuracy
A034,source,148.0,4,0.2194541,0.5,accuracy
A035,source,1.0,1,-0.58022076,0.5,accuracy
A035,source,26.0,2,0.94498247,0.5,accuracy
A035,source,74.0,3,-0.67052317,0.5,accuracy
A035,source,148.0,4,-1.0736576,0.5,accuracy
A036,source,1.0,1,0.56033707,0.5,accuracy
A036,source,26.0,2,0.11009441,0.5,accuracy
A036,source,74.0,3,-0.44275582,0.5,accuracy
A036,source,148.0,4,-1.2420775,0.5,accuracy
A037,source,1.0,1,0.971286,0.5,accuracy
A037,source,26.0,2,0.94823486,0.5,accuracy
A037,source,74.0,3,0.0045165215,0.5,accuracy
A037,source,148.0,4,-0.5205274,0.5,accuracy
A038,source,1.0,1,0.71647024,0.5,accuracy
A038,source,26.0,2,-0.52280927,0.5,accuracy
A038,source,74.0,3,1.3734354,0.5,accuracy
A038,source,148.0,4,-0.27067098,0.5,accuracy
A039,source,1.0,1,1.3928413,0.5,accuracy
A039,source,26.0,2,0.31963685,0.5,accuracy
A039,source,74.0,3,1.0655857,0.5,accuracy
A039,source,148.0,4,0.74151385,0.5,accuracy
A040,source,1.0,1,-0.46198902,0.5,accuracy
A040,source,26.0,2,-0.335709,0.5,accuracy
A040,source,74.0,3,-1.4675875,0.5,accuracy
A040,source,148.0,4,-1.0677122,0.5,accuracy
A041,source,1.0,1,1.079175,0.5,accuracy
A041,source,26.0,2,-1.0853513,0.5,accuracy
