location,test,n,r,fisher_z,ci_lower,ci_upper,p_uncorrected,p_bonferroni
source,1,100,0.44532625694859324,0.47885513393994555,0.27276373398742076,0.5901283536802179,3.4405313417946978e-06,2.7524250734357582e-05
source,2,100,0.4394087072244022,0.47149779081153,0.2659402071437053,0.5853123932107411,4.791334731325484e-06,3.8330677850603875e-05
source,3,100,0.2904736058032888,0.2990834346141157,0.09974282945716634,0.46061472769222034,0.003371065684755914,0.026968525478047314
source,4,100,0.48240340056747566,0.5261118978197699,0.31591624122861345,0.6200705787137052,3.727579490042366e-07,2.9820635920338926e-06
destination,1,100,0.31613539276516395,0.3273475166217373,0.12763964934601643,0.48259018780883833,0.0013543677289095607,0.010834941831276486
destination,2,100,0.2728300180935151,0.27991889901895944,0.0807349477444165,0.44538366650841904,0.006027070029500132,0.04821656023600106
destination,3,100,0.36133068228781995,0.37841556123258313,0.17750730363487413,0.5207901888367018,0.00022120413777175027,0.0017696331021740022
destination,4,100,0.2779021473815488,0.2854072026800293,0.08618500828732142,0.44977250183683803,0.005118979704607603,0.040951837636860826
