term,beta,se,z,p_uncorrected,ci_lower,ci_upper,p_bonferroni
Intercept,0.44,0.065,6.779,0.0,0.313,0.567,0.0
measure[T.confidence],-0.994,0.079,-12.612,0.0,-1.149,-0.840,0.0
location[T.source],0.089,0.079,1.126,0.26,-0.066,0.243,0.52
measure[T.confidence]:location[T.source],-0.158,0.112,-1.418,0.156,-0.377,0.060,0.312
log_TSVR,-0.132,0.015,-8.715,0.0,-0.162,-0.102,0.0
measure[T.confidence]:log_TSVR,0.038,0.021,1.759,0.079,-0.004,0.080,0.158
location[T.source]:log_TSVR,-0.042,0.021,-1.969,0.049,-0.084,-0.000,0.098
measure[T.confidence]:location[T.source]:log_TSVR,0.087,0.03,2.879,0.004,0.028,0.147,0.008
Group Var,0.111,0.034,,,,,
