measure,R2_full,R2_reduced,f_squared
accuracy,0.27349922953380235,0.26939713307768814,0.005646375919851915
confidence,0.24140747586730726,0.2325304963971349,0.011701907397942659
difference,0.03209175366649508,0.03686663668055323,-0.006055531478090744
