location,test,accuracy,confidence,cooks_d,outlier_flag
destination,1,1.5729234,-0.5362621,0.0,False
destination,2,0.35054204,-0.2256101,0.0,False
destination,3,0.36001632,-0.8214855,0.0,False
destination,4,-0.4464555,-1.3494124,0.0,False
source,1,1.1920228,-0.3908649,0.0,False
source,2,-0.37323314,-0.7330848,0.0,False
source,3,0.4525285,-0.4822448,0.0,False
source,4,-1.4747403,-1.4131119,0.0,False
destination,1,1.7540342,-0.09229775,0.0,False
destination,2,0.9775655,-0.1341493,0.0,False
destination,3,0.37505868,-0.8170586,0.0,False
destination,4,1.0688435,0.029518291,0.0,False
source,1,1.4011933,-0.07626844,0.0,False
source,2,0.22787775,-0.6712282,0.0,False
source,3,1.1538624,-1.1103784,0.0,False
source,4,-0.056302976,-0.89397234,0.0,False
destination,1,-0.5316837,-0.93416893,0.0,False
destination,2,1.5800109,-0.23517105,0.0,False
destination,3,0.7544972,-1.1852552,0.0,False
destination,4,0.12028915,-0.8096277,0.0,False
source,1,0.77168596,-1.3613721,0.0,False
source,2,1.0246594,-0.52982306,0.0,False
source,3,0.54660773,-0.51687664,0.0,False
source,4,1.3088306,-0.58936685,0.0,False
destination,1,1.4608339,-1.0161982,0.0,False
destination,2,-0.6116699,-0.062979154,0.0,False
destination,3,-0.31054813,-0.6746685,0.0,False
destination,4,-0.8304748,-1.400856,0.0,False
source,1,1.2707294,-0.41099498,0.0,False
source,2,-0.06876846,-0.3671621,0.0,False
source,3,-0.23774107,-0.56617963,0.0,False
source,4,-1.0014096,-0.97156453,0.0,False
destination,1,-0.66399795,-0.27857152,0.0,False
destination,2,-0.2995187,0.009445219,0.0,False
destination,3,0.80790555,-0.79742,0.0,False
destination,4,1.2733109,-0.29429692,0.0,False
source,1,0.95065767,-0.29183242,0.0,False
source,2,-0.558087,-0.6273964,0.0,False
source,3,0.03167592,-0.4513099,0.0,False
source,4,1.2263699,-0.44785708,0.0,False
destination,1,-0.8207058,-0.60008603,0.0,False
destination,2,0.05391906,-1.1099766,0.0,False
destination,3,0.01400444,-0.96584976,0.0,False
destination,4,-1.3077472,-0.59862155,0.0,False
source,1,0.01302593,-0.6402437,0.0,False
source,2,0.11565804,-0.6981691,0.0,False
source,3,1.0797325,-0.3362829,0.0,False
source,4,-0.57237154,-1.0426823,0.0,False
destination,1,1.5448427,0.107113406,0.0,False
destination,2,1.3082612,0.35705402,0.0,False
destination,3,-1.1147809,-0.17364612,0.0,False
destination,4,-0.6969951,-0.6132459,0.0,False
source,1,1.4213097,-0.11353823,0.0,False
source,2,1.3198788,-0.07202728,0.0,False
source,3,0.29753846,-0.5313469,0.0,False
source,4,0.2194541,-1.104795,0.0,False
destination,1,0.30524516,-0.4079534,0.0,False
destination,2,-0.05189664,-1.0234561,0.0,False
destination,3,-0.003024264,-0.7567199,0.0,False
destination,4,-1.0853919,-1.2301936,0.0,False
source,1,-0.58022076,-1.1593684,0.0,False
source,2,0.94498247,-0.46934307,0.0,False
source,3,-0.67052317,-1.0136071,0.0,False
source,4,-1.0736576,-1.1083375,0.0,False
destination,1,1.3103865,-1.5473754,0.0,False
destination,2,-0.8839064,-2.1995568,0.0,False
destination,3,-0.5670363,-2.298785,0.0,False
destination,4,-0.9257591,-1.9419423,0.0,False
source,1,0.56033707,-1.3039807,0.0,False
source,2,0.11009441,-0.7552227,0.0,False
source,3,-0.44275582,-0.7611836,0.0,False
source,4,-1.2420775,-0.71883047,0.0,False
destination,1,-0.37298724,-0.5476868,0.0,False
destination,2,0.8601754,-0.2605572,0.0,False
destination,3,0.52264977,-0.6339259,0.0,False
destination,4,-0.7062983,-0.8863542,0.0,False
source,1,0.971286,-0.22940661,0.0,False
source,2,0.94823486,-0.7729747,0.0,False
source,3,0.0045165215,-0.79540986,0.0,False
source,4,-0.5205274,-1.1232985,0.0,False
destination,1,1.0395416,0.08060274,0.0,False
destination,2,-0.28525016,0.030163117,0.0,False
destination,3,0.56079465,-0.46460685,0.0,False
destination,4,-0.17457396,-0.050142325,0.0,False
source,1,0.71647024,-0.58281887,0.0,False
source,2,-0.52280927,-0.7889321,0.0,False
source,3,1.3734354,-0.58282876,0.0,False
source,4,-0.27067098,-0.45298928,0.0,False
destination,1,1.7322454,-0.22031282,0.0,False
destination,2,1.3414384,-0.967514,0.0,False
destination,3,0.9721396,-0.51484126,0.0,False
destination,4,1.2233254,-0.8128166,0.0,False
source,1,1.3928413,-0.55381507,0.0,False
source,2,0.31963685,-0.7200791,0.0,False
source,3,1.0655857,-0.19438858,0.0,False
source,4,0.74151385,-0.5165354,0.0,False
destination,1,-0.9852747,-0.7123903,0.0,False
destination,2,0.88222194,-0.5354826,0.0,False
destination,3,-0.9794845,-0.59646285,0.0,False
destination,4,-1.104057,-1.4291942,0.0,False
source,1,-0.46198902,-0.6279596,0.0,False
source,2,-0.335709,-0.5219079,0.0,False
source,3,-1.4675875,-0.7201824,0.0,False
source,4,-1.0677122,-0.5058772,0.0,False
destination,1,0.22410686,-0.032549784,0.0,False
destination,2,-0.6096121,-0.56034625,0.0,False
destination,3,1.0298018,-0.2686508,0.0,False
destination,4,-0.39342585,-1.0883445,0.0,False
source,1,1.079175,-0.14848629,0.0,False
source,2,-1.0853513,-1.2097907,0.0,False
source,3,-0.1782166,-0.35134926,0.0,False
source,4,0.9023358,-0.42589203,0.0,False
destination,1,-1.0510693,-1.1741979,0.0,False
destination,2,-0.29213598,-1.7672555,0.0,False
destination,3,0.27557984,-0.76949203,0.0,False
destination,4,-0.4915242,-0.6984549,0.0,False
source,1,-0.5589121,-1.4711776,0.0,False
source,2,-1.3708228,-1.318766,0.0,False
source,3,-0.8300745,-1.5648985,0.0,False
source,4,-1.5882493,-1.3058045,0.0,False
destination,1,0.49942693,-0.64270407,0.0,False
destination,2,0.4424877,-0.69714564,0.0,False
destination,3,0.3511134,-1.0483463,0.0,False
destination,4,-0.25678244,-0.7276009,0.0,False
source,1,0.66669923,-0.25133333,0.0,False
source,2,0.21157885,-0.1456867,0.0,False
source,3,-0.3631573,-0.36928454,0.0,False
source,4,-0.15410642,-0.7279064,0.0,False
destination,1,1.1713588,-0.66674685,0.0,False
destination,2,0.16294117,-1.5049372,0.0,False
destination,3,-1.3014706,-1.5926526,0.0,False
destination,4,-1.0086085,-1.2673125,0.0,False
source,1,-0.77502024,-1.6922386,0.0,False
source,2,-0.4404797,-0.5252108,0.0,False
source,3,-1.4569299,-0.7272503,0.0,False
source,4,-1.2631737,-1.2148218,0.0,False
destination,1,0.16803594,-1.0539119,0.0,False
destination,2,-0.48629287,-0.09831003,0.0,False
destination,3,-0.9015519,0.077276126,0.0,False
destination,4,-0.6140947,-0.64128685,0.0,False
source,1,-0.5580017,-0.8337928,0.0,False
source,2,-0.8744425,-1.5231038,0.0,False
source,3,-0.7973534,-1.1971753,0.0,False
source,4,-0.57261163,-1.4343894,0.0,False
destination,1,-0.82893044,-0.57028764,0.0,False
destination,2,-1.229845,-0.5399831,0.0,False
destination,3,-0.9712328,-1.9019561,0.0,False
destination,4,-0.8551873,-1.036533,0.0,False
source,1,-0.6971506,-1.4640073,0.0,False
source,2,-1.4928403,-1.5578839,0.0,False
source,3,-1.7452676,-0.7778377,0.0,False
source,4,-0.63528097,-1.4356958,0.0,False
destination,1,-0.9314449,-0.7438562,0.0,False
destination,2,0.0011731267,-0.7751121,0.0,False
destination,3,-0.31743395,-1.7040977,0.0,False
destination,4,0.5841509,-1.1266108,0.0,False
source,1,-0.35001668,-0.84922624,0.0,False
source,2,-0.16671039,-1.4762573,0.0,False
source,3,-1.3709793,-0.37979567,0.0,False
source,4,-1.6715268,-1.4382672,0.0,False
destination,1,1.7055423,-0.6093048,0.0,False
destination,2,-0.21394376,-0.67946017,0.0,False
destination,3,0.59561753,-1.1166631,0.0,False
destination,4,0.05674492,-0.44719043,0.0,False
source,1,1.1008136,-0.70022494,0.0,False
source,2,0.42243886,-1.5276124,0.0,False
source,3,-0.026019838,-0.7932262,0.0,False
source,4,-0.17341782,-1.1164802,0.0,False
destination,1,0.7261273,0.42826122,0.0,False
destination,2,-0.3937213,-1.0834807,0.0,False
destination,3,0.6229021,-0.6005491,0.0,False
destination,4,1.4647734,-0.9534854,0.0,False
source,1,1.1971763,-0.13178295,0.0,False
source,2,-1.2098973,-1.1782323,0.0,False
source,3,0.85623467,-0.22813332,0.0,False
source,4,-0.14212708,-0.77789843,0.0,False
destination,1,-0.91308653,-0.32310376,0.0,False
destination,2,-0.0066963215,-0.67409724,0.0,False
destination,3,-0.35299146,-1.5421544,0.0,False
destination,4,0.8914575,-1.8897492,0.0,False
source,1,0.004513393,-0.6410244,0.0,False
source,2,-0.64157915,-0.3605025,0.0,False
source,3,-0.91331995,-0.92189294,0.0,False
source,4,-0.3250553,-0.2514339,0.0,False
destination,1,1.8028108,-0.85139066,0.0,False
destination,2,0.049381785,-0.2346883,0.0,False
destination,3,0.1110302,-0.4212014,0.0,False
destination,4,0.03827322,-0.38500118,0.0,False
source,1,1.209352,-0.35548836,0.0,False
source,2,-0.22324474,-0.68842417,0.0,False
source,3,-0.78436285,-1.0099533,0.0,False
source,4,-0.21998222,-0.8415917,0.0,False
destination,1,-0.4868811,-0.4075357,0.0,False
destination,2,0.9826763,-1.0655898,0.0,False
destination,3,-0.23479229,-0.9348245,0.0,False
destination,4,0.060775243,-0.6523952,0.0,False
source,1,0.78120226,-1.0095397,0.0,False
source,2,-0.19870977,-0.27875155,0.0,False
source,3,0.39233577,-1.3048527,0.0,False
source,4,-0.8431323,-0.8561385,0.0,False
destination,1,0.830601,-0.257918,0.0,False
destination,2,0.35691914,-1.7639836,0.0,False
destination,3,-0.111180075,-2.2849076,0.0,False
destination,4,-0.24006987,-1.8128086,0.0,False
source,1,1.0110499,-0.39727706,0.0,False
source,2,0.9028614,-1.181887,0.0,False
