test,r_source,r_destination,z_diff,p_value,significant
1,0.44532625694859324,0.31613539276516395,0.0,1.0,False
2,0.4394087072244022,0.2728300180935151,0.0,1.0,False
3,0.2904736058032888,0.36133068228781995,0.0,1.0,False
4,0.48240340056747566,0.2779021473815488,0.0,1.0,False
