percentile,value
1.0,-0.02183981927253461
2.5,-0.019250338379519224
5.0,-0.016882615750284942
25.0,-0.0100947828894766
50.0,-0.005869814071143602
75.0,-0.0019538448534275796
95.0,0.0036324713131965186
97.5,0.005548198145148781
99.0,0.008010200339798419
