model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight
PowerLaw_01,2593.4101575793647,2634.1307722655733,-1288.7050787896824,7.0,True,0.0,0.060431483566699536,0.060431483566699536
Log,2593.5123040554518,2634.2329187416603,-1288.7561520277259,7.0,True,0.10214647608700034,0.05742254419327033,0.11785402775996986
Log2,2593.5123040554518,2634.2329187416603,-1288.7561520277259,7.0,True,0.10214647608700034,0.05742254419327033,0.1752765719532402
Log10,2593.5123040554536,2634.232918741662,-1288.7561520277268,7.0,True,0.10214647608881933,0.0574225441932181,0.2326991161464583
PowerLaw_02,2593.7810083453423,2634.501623031551,-1288.8905041726712,7.0,True,0.37085076597759326,0.05020350461215988,0.28290262075861816
SquareRoot,2594.286373254805,2635.0069879410134,-1289.1431866274024,7.0,True,0.8762156754401076,0.038993789213846004,0.32189640997246416
Exp_slow,2594.286373254805,2635.0069879410134,-1289.1431866274024,7.0,True,0.8762156754401076,0.038993789213846004,0.36089019918631016
PowerLaw_03,2594.604862909675,2635.3254775958835,-1289.3024314548375,7.0,True,1.1947053303101711,0.03325341787612165,0.3941436170624318
Log+Recip,2595.0626246727024,2640.873316194687,-1288.5313123363512,8.0,True,1.652467093337691,0.026450542634397993,0.4205941596968298
Recip+PowerLaw05,2595.1948230822472,2641.005514604232,-1288.5974115411236,8.0,True,1.7846655028824898,0.024758713032993422,0.4453528727298232
Recip+PowerLaw,2595.1948230822472,2641.005514604232,-1288.5974115411236,8.0,True,1.7846655028824898,0.024758713032993422,0.47011158576281664
Log+LogLog,2595.222061457518,2641.0327529795027,-1288.611030728759,8.0,True,1.8119038781533163,0.02442380523724672,0.4945353910000634
Log+PowerLaw05,2595.2308344654866,2641.0415259874712,-1288.6154172327433,8.0,True,1.8206768861218734,0.024316904749379954,0.5188522957494434
Lin+Log,2595.374648259127,2641.1853397811115,-1288.6873241295634,8.0,True,1.9644906797620934,0.02262973796228413,0.5414820337117275
Exp+Log,2595.374648259127,2641.1853397811115,-1288.6873241295634,8.0,True,1.9644906797620934,0.02262973796228413,0.5641117716740117
Tanh+Log,2595.4209430880455,2641.23163461003,-1288.7104715440228,8.0,True,2.010785508680783,0.022111934069085064,0.5862237057430968
PowerLaw_Log,2595.427565308588,2641.2382568305725,-1288.713782654294,8.0,True,2.017407729223123,0.0220388400949579,0.6082625458380547
Recip+Log,2595.436386787169,2641.2470783091535,-1288.7181933935844,8.0,True,2.0262292078041355,0.021941846580833348,0.630204392418888
SquareRoot+Log,2595.4381666113404,2641.248858133325,-1288.7190833056702,8.0,True,2.028009031975671,0.021922328952151897,0.6521267213710399
Log+SquareRoot,2595.44716325063,2641.257854772615,-1288.723581625315,8.0,True,2.037005671265433,0.021823936774809774,0.6739506581458496
Sin+Log,2595.4584849798357,2641.2691765018203,-1288.7292424899179,8.0,True,2.048327400470953,0.021700743442995402,0.6956514015888451
CubeRoot+Log,2595.4609388237113,2641.271630345696,-1288.7304694118557,8.0,True,2.050781244346581,0.021674134651591206,0.7173255362404363
SquareRoot+Recip,2595.5871339503756,2641.39782547236,-1288.7935669751878,8.0,True,2.1769763710108236,0.02034880188520522,0.7376743381256415
Exp+PowerLaw,2595.59865294518,2641.409344467165,-1288.79932647259,8.0,True,2.18849536581547,0.020231939869887357,0.7579062779955289
SquareRoot+PowerLaw,2595.6152711201703,2641.425962642155,-1288.8076355600851,8.0,True,2.2051135408055416,0.020064527396948563,0.7779708053924774
CubeRoot,2595.6286263985257,2636.3492410847343,-1289.8143131992629,7.0,True,2.2184688191609894,0.019930990075955043,0.7979017954684324
Root_033,2595.6384103333894,2636.359025019598,-1289.8192051666947,7.0,True,2.228252754024652,0.019833726420906486,0.817735521889339
PowerLaw_04,2595.8534531681526,2636.574067854361,-1289.9267265840763,7.0,True,2.443295588787805,0.01781182256464265,0.8355473444539816
Root_Multi,2595.8903671066128,2641.7010586285974,-1288.9451835533064,8.0,True,2.4802095272480074,0.01748608560918599,0.8530334300631676
Exp+Recip,2596.0374530819554,2641.84814460394,-1289.0187265409777,8.0,True,2.6272955025906413,0.01624625578418457,0.8692796858473522
PowerLaw_Lin,2596.0981489532205,2641.908840475205,-1289.0490744766103,8.0,True,2.687991373855766,0.015760621726663673,0.8850403075740159
SquareRoot+Lin,2596.140634904359,2641.9513264263437,-1289.0703174521796,8.0,True,2.7304773249943537,0.015429350277497875,0.9004696578515138
Recip+Lin,2596.7135242787845,2642.524215800769,-1289.3567621393922,8.0,True,3.303366699419712,0.011586340608573251,0.912055998460087
Lin+Log+PowerLaw,2597.1034432531505,2648.0042116109116,-1288.5517216265753,9.0,True,3.6932856737857946,0.009534028855317886,0.9215900273154048
Quad+Log,2597.1955190159442,2648.0962873737053,-1288.5977595079721,9.0,True,3.7853614365794783,0.00910505270691787,0.9306950800223227
Lin+Quad+Log,2597.1955190159442,2648.0962873737053,-1288.5977595079721,9.0,True,3.7853614365794783,0.00910505270691787,0.9398001327292406
PowerLaw+Recip+Log,2597.382635282338,2648.283403640099,-1288.691317641169,9.0,True,3.972477702973265,0.008291835605936273,0.9480919683351768
PowerLaw_05,2597.491525626936,2638.2121403131446,-1290.745762813468,7.0,True,4.081368047571232,0.0078524548013334,0.9559444231365103
Recip+Quad,2597.5415395100044,2648.4423078677655,-1288.7707697550022,9.0,True,4.131381930639691,0.007658523839405045,0.9636029469759153
Quadratic,2598.083179074325,2643.8938705963096,-1290.0415895371625,8.0,True,4.673021494960267,0.005841569278180671,0.969444516254096
LogLog,2598.254590448627,2638.9752051348355,-1291.1272952243135,7.0,True,4.844432869262164,0.0053617680759743,0.9748062843300703
Cubic,2598.415922546963,2649.316690904724,-1289.2079612734815,9.0,True,5.005764967598225,0.004946240219909689,0.97975252454998
FourthRoot,2598.9644739441537,2639.6850886303623,-1291.4822369720769,7.0,True,5.554316364788974,0.003759748390890609,0.9835122729408706
Quad+Log+SquareRoot,2598.999379721279,2654.9902249148163,-1288.4996898606396,10.0,True,5.5892221419144335,0.003694699220337265,0.9872069721612079
Root_067,2599.091635941326,2639.8122506275345,-1291.545817970663,7.0,True,5.681478361961126,0.0035281407739450117,0.9907351129351529
Quartic,2599.1279429165024,2655.1187881100395,-1288.5639714582512,10.0,True,5.717785337137684,0.003464670560101592,0.9941997834952545
PowerLaw_06,2599.4783937867196,2640.199008472928,-1291.7391968933598,7.0,True,6.0682362073548575,0.002907786435285035,0.9971075699305395
