item_name,dimension,a,b
TQ_ICR-D-i1,common,0.51578957,0.9024444222450256
TQ_ICR-D-i2,common,0.71300733,1.3438690900802612
TQ_ICR-D-i3,congruent,1.151404,0.5295572876930237
TQ_ICR-D-i5,incongruent,0.38232905,3.285862445831299
TQ_ICR-D-i6,incongruent,0.8075438,1.2654423713684082
TQ_ICR-N-i1,common,1.4658748,-1.8222296237945557
TQ_ICR-N-i2,common,0.51315546,-3.0478274822235107
TQ_ICR-N-i3,congruent,1.2380395,-2.540487766265869
TQ_ICR-N-i4,congruent,1.1095384,-2.441741943359375
TQ_ICR-N-i5,incongruent,1.4807413,-1.7287739515304565
TQ_ICR-N-i6,incongruent,1.1079998,-2.1339974403381348
TQ_ICR-O-i1,common,0.56567675,2.390695810317993
TQ_ICR-O-i3,congruent,0.6338826,0.9863179922103882
TQ_ICR-O-i4,congruent,0.32875195,2.9654130935668945
TQ_ICR-U-i1,common,3.392576,-0.20132626593112946
TQ_ICR-U-i2,common,0.8286254,-1.034201741218567
TQ_ICR-U-i3,congruent,2.2361188,-0.49079227447509766
TQ_ICR-U-i4,congruent,0.47115827,-1.0989079475402832
TQ_ICR-U-i5,incongruent,2.886082,-0.08077756315469742
TQ_ICR-U-i6,incongruent,1.0120015,-0.5083763003349304
TQ_IFR-D-i1,common,0.39816195,1.6394025087356567
TQ_IFR-D-i2,common,0.5496782,1.718503475189209
TQ_IFR-D-i3,congruent,0.9389588,0.7074924111366272
TQ_IFR-N-i1,common,1.3790059,-0.3048771023750305
TQ_IFR-N-i2,common,0.58370745,-0.16243843734264374
TQ_IFR-N-i3,congruent,1.2577987,-0.3441265821456909
TQ_IFR-N-i4,congruent,0.44023398,-0.8715604543685913
TQ_IFR-N-i5,incongruent,1.4164939,0.4683993458747864
TQ_IFR-N-i6,incongruent,0.80779433,0.547110915184021
TQ_IFR-O-i3,congruent,0.59304124,0.7729893922805786
TQ_IFR-U-i1,common,1.5832301,-0.019043250009417534
TQ_IFR-U-i2,common,0.62592477,-0.23879438638687134
TQ_IFR-U-i3,congruent,1.4850913,-0.07962776720523834
TQ_IFR-U-i4,congruent,0.2948133,-0.22308869659900665
TQ_IFR-U-i5,incongruent,1.1987524,0.282915323972702
TQ_IFR-U-i6,incongruent,0.54479,0.35425516963005066
TQ_IRE-D-i1,common,0.6215318,0.8615063428878784
TQ_IRE-D-i2,common,0.53180254,1.3982867002487183
TQ_IRE-D-i3,congruent,1.1776769,0.34074702858924866
TQ_IRE-D-i6,incongruent,0.82605076,1.0966830253601074
TQ_IRE-N-i1,common,1.5151565,-2.4529902935028076
TQ_IRE-N-i4,congruent,1.0274961,-2.204179525375366
TQ_IRE-O-i1,common,0.48545036,2.4374747276306152
TQ_IRE-O-i3,congruent,0.60487115,0.9877175688743591
TQ_IRE-U-i1,common,2.306051,-0.34235307574272156
TQ_IRE-U-i2,common,0.68081033,-1.7434228658676147
TQ_IRE-U-i3,congruent,2.6387165,-0.49151554703712463
TQ_IRE-U-i4,congruent,0.5237662,-0.9987854361534119
TQ_IRE-U-i5,incongruent,2.5405374,-0.2054305523633957
TQ_IRE-U-i6,incongruent,0.7951025,-0.8664042949676514
