item_name,dimension,a,b,removal_reason
TQ_ICR-D-i4,congruent,0.38490275,2.4264016151428223,a < 0.4 (0.385)
TQ_ICR-O-i2,common,0.530341,3.6025638580322266,|b| > 3.0 (3.603)
TQ_ICR-O-i5,incongruent,0.20642595,4.465092182159424,a < 0.4 (0.206); |b| > 3.0 (4.465)
TQ_ICR-O-i6,incongruent,0.30572945,3.7389209270477295,a < 0.4 (0.306); |b| > 3.0 (3.739)
TQ_IFR-D-i4,congruent,0.09984637,7.3599982261657715,a < 0.4 (0.100); |b| > 3.0 (7.360)
TQ_IFR-D-i5,incongruent,0.17975688,3.805958032608032,a < 0.4 (0.180); |b| > 3.0 (3.806)
TQ_IFR-D-i6,incongruent,0.06601391,16.282669067382812,a < 0.4 (0.066); |b| > 3.0 (16.283)
TQ_IFR-O-i1,common,0.021263493,43.29159927368164,a < 0.4 (0.021); |b| > 3.0 (43.292)
TQ_IFR-O-i2,common,0.19779205,5.365030765533447,a < 0.4 (0.198); |b| > 3.0 (5.365)
TQ_IFR-O-i4,congruent,0.04298586,15.98027801513672,a < 0.4 (0.043); |b| > 3.0 (15.980)
TQ_IFR-O-i5,incongruent,0.09994638,5.4209089279174805,a < 0.4 (0.100); |b| > 3.0 (5.421)
TQ_IFR-O-i6,incongruent,0.14087874,6.273571014404297,a < 0.4 (0.141); |b| > 3.0 (6.274)
TQ_IRE-D-i4,congruent,0.36387682,2.6259419918060303,a < 0.4 (0.364)
TQ_IRE-D-i5,incongruent,0.30053174,2.3540561199188232,a < 0.4 (0.301)
TQ_IRE-N-i2,common,0.47385114,-5.605046272277832,|b| > 3.0 (-5.605)
TQ_IRE-N-i3,congruent,0.5433397,-3.9745125770568848,|b| > 3.0 (-3.975)
TQ_IRE-N-i5,incongruent,0.5033026,-4.471089839935303,|b| > 3.0 (-4.471)
TQ_IRE-N-i6,incongruent,0.6919644,-4.1388373374938965,|b| > 3.0 (-4.139)
TQ_IRE-O-i2,common,0.31197044,6.100799083709717,a < 0.4 (0.312); |b| > 3.0 (6.101)
TQ_IRE-O-i4,congruent,0.19982657,5.174582958221436,a < 0.4 (0.200); |b| > 3.0 (5.175)
TQ_IRE-O-i5,incongruent,0.22606,4.364279747009277,a < 0.4 (0.226); |b| > 3.0 (4.364)
TQ_IRE-O-i6,incongruent,0.4660076,3.426452875137329,|b| > 3.0 (3.426)
