Contrast,Estimate,SE,z_value,p_uncorrected,p_bonferroni
Incongruent vs Common,0.018452380952380668,0.009137558597678353,2.019399465965559,0.043445717015080154,0.13033715104524046
Congruent vs Common,0.0034920634920632106,0.009137558597678353,0.382165920440769,0.702338298319827,1.0
Incongruent vs Congruent,0.014960317460317459,0.012922459295815607,1.157698942426673,0.24698691570150633,0.740960747104519
