Congruence,Test,N_responses,N_hce,HCE_rate
Common,1,600,20,0.03333333333333333
Common,2,600,34,0.056666666666666664
Common,3,600,22,0.03666666666666667
Common,4,600,23,0.03833333333333333
Congruent,1,600,28,0.04666666666666667
Congruent,2,600,31,0.051666666666666666
Congruent,3,600,29,0.04833333333333333
Congruent,4,600,37,0.06166666666666667
Incongruent,1,600,24,0.04
Incongruent,2,600,51,0.085
Incongruent,3,600,33,0.055
Incongruent,4,600,26,0.043333333333333335
