model,AIC,BIC,loglik,n_params,converged,delta_AIC,akaike_weight
Linear,-1467.2645707891104,-1443.3157835064626,739.6322853945552,5,True,0.04907531900335016,0.26507149199091
Quadratic,-1465.5377226447572,-1437.5974708150013,739.7688613223786,6,True,1.7759234633565484,0.11178478928109137
Logarithmic,-1467.3136461081137,-1443.364858825466,739.6568230540569,5,True,0.0,0.27165618206474496
Linear+Log,-1466.7077208584744,-1438.7674690287186,740.3538604292372,6,True,0.6059252496393128,0.2006525098800747
Quadratic+Log,-1466.1369450511124,-1434.2052286742485,741.0684725255562,7,True,1.17670105700131,0.1508350267831789
