model,formula,days_coef,days_se,days_p,converged,n_obs,llf,note
A_Full_RandomSlopes,HCE_rate ~ Days + (Days | UID),-0.0030065628331676472,0.0007072023908179591,2.1248855381138513e-05,True,400,728.5415955354977,REFERENCE MODEL
B_Reduced_InterceptOnly,HCE_rate ~ Days + (1 | UID),-0.002956671102370657,0.0006480468300236328,5.056391235119035e-06,True,400,725.9320633720863,Tests if random slopes necessary
C_Quadratic,HCE_rate ~ Days + Days² + (Days | UID),-0.0040810592177460405,0.0022110202234982166,0.06492400398603683,True,400,721.5287024950582,"Days² β=0.000162, p=0.6077"
D_ExcludeLate,"HCE_rate ~ Days + (Days | UID), Days ≤ 7.5",-0.0030627258022004663,0.0007349980988387657,3.086552607812109e-05,True,396,720.5830185985153,Excluded 4 late observations
