UID,TEST,TSVR,HCE_rate,n_HCE,n_total
A010,1,1.0,0.0,0,72
A010,2,21.9,0.0,0,72
A010,3,80.88,0.013888888888888888,1,72
A010,4,145.31,0.0,0,72
A011,1,1.0,0.06944444444444445,5,72
A011,2,24.57,0.013888888888888888,1,72
A011,3,72.55,0.041666666666666664,3,72
A011,4,148.85,0.0,0,72
A012,1,1.0,0.05555555555555555,4,72
A012,2,25.6,0.06944444444444445,5,72
A012,3,166.33,0.0,0,72
A012,4,166.87,0.05555555555555555,4,72
A013,1,1.0,0.0,0,72
A013,2,24.77,0.09722222222222222,7,72
A013,3,79.66,0.06944444444444445,5,72
A013,4,147.13,0.0,0,72
A014,1,1.0,0.1111111111111111,8,72
A014,2,25.66,0.1111111111111111,8,72
A014,3,70.56,0.013888888888888888,1,72
A014,4,148.87,0.041666666666666664,3,72
A015,1,1.0,0.041666666666666664,3,72
A015,2,23.69,0.013888888888888888,1,72
A015,3,70.59,0.027777777777777776,2,72
A015,4,146.54,0.013888888888888888,1,72
A016,1,1.0,0.027777777777777776,2,72
A016,2,32.85,0.06944444444444445,5,72
A016,3,80.64,0.09722222222222222,7,72
A016,4,150.8,0.027777777777777776,2,72
A017,1,1.0,0.1111111111111111,8,72
A017,2,20.61,0.125,9,72
A017,3,61.28,0.1527777777777778,11,72
A017,4,140.49,0.125,9,72
A018,1,1.0,0.027777777777777776,2,72
A018,2,34.03,0.027777777777777776,2,72
A018,3,83.64,0.027777777777777776,2,72
A018,4,150.87,0.0,0,72
A019,1,1.0,0.027777777777777776,2,72
A019,2,28.69,0.013888888888888888,1,72
A019,3,83.68,0.013888888888888888,1,72
A019,4,154.76,0.0,0,72
A020,1,1.0,0.09722222222222222,7,72
A020,2,26.85,0.08333333333333333,6,72
A020,3,78.25,0.05555555555555555,4,72
A020,4,145.78,0.027777777777777776,2,72
A021,1,1.0,0.027777777777777776,2,72
A021,2,30.21,0.05555555555555555,4,72
A021,3,74.19,0.027777777777777776,2,72
A021,4,140.39,0.05555555555555555,4,72
A022,1,1.0,0.0,0,72
A022,2,24.15,0.027777777777777776,2,72
A022,3,74.46,0.0,0,72
A022,4,141.71,0.0,0,72
A023,1,1.0,0.05555555555555555,4,72
A023,2,25.63,0.05555555555555555,4,72
A023,3,72.2,0.013888888888888888,1,72
A023,4,145.07,0.027777777777777776,2,72
A024,1,1.0,0.013888888888888888,1,72
A024,2,29.57,0.0,0,72
A024,3,91.47,0.08333333333333333,6,72
A024,4,145.65,0.08333333333333333,6,72
A025,1,1.0,0.027777777777777776,2,72
A025,2,23.33,0.0,0,72
A025,3,72.94,0.013888888888888888,1,72
A025,4,137.74,0.0,0,72
A026,1,1.0,0.027777777777777776,2,72
A026,2,26.48,0.05555555555555555,4,72
A026,3,75.46,0.013888888888888888,1,72
A026,4,147.65,0.05555555555555555,4,72
A027,1,1.0,0.08333333333333333,6,72
A027,2,28.26,0.09722222222222222,7,72
A027,3,74.58,0.041666666666666664,3,72
A027,4,145.92,0.0,0,72
A028,1,1.0,0.013888888888888888,1,72
A028,2,22.82,0.027777777777777776,2,72
A028,3,72.26,0.013888888888888888,1,72
A028,4,138.91,0.013888888888888888,1,72
A029,1,1.0,0.041666666666666664,3,72
A029,2,28.43,0.08333333333333333,6,72
A029,3,93.26,0.027777777777777776,2,72
A029,4,143.14,0.013888888888888888,1,72
A030,1,1.0,0.0,0,72
A030,2,32.95,0.041666666666666664,3,72
A030,3,71.93,0.027777777777777776,2,72
A030,4,150.46,0.013888888888888888,1,72
A031,1,1.0,0.027777777777777776,2,72
A031,2,32.41,0.06944444444444445,5,72
A031,3,71.56,0.09722222222222222,7,72
A031,4,143.85,0.0,0,72
A032,1,1.0,0.041666666666666664,3,72
A032,2,57.18,0.013888888888888888,1,72
A032,3,80.16,0.027777777777777776,2,72
A032,4,144.51,0.013888888888888888,1,72
A033,1,1.0,0.041666666666666664,3,72
A033,2,29.16,0.05555555555555555,4,72
A033,3,72.6,0.013888888888888888,1,72
A033,4,168.33,0.0,0,72
A034,1,1.0,0.027777777777777776,2,72
A034,2,26.08,0.1388888888888889,10,72
A034,3,74.28,0.16666666666666666,12,72
A034,4,145.38,0.05555555555555555,4,72
A035,1,1.0,0.05555555555555555,4,72
A035,2,44.76,0.027777777777777776,2,72
A035,3,79.98,0.027777777777777776,2,72
A035,4,152.47,0.027777777777777776,2,72
A036,1,1.0,0.0,0,72
A036,2,21.63,0.0,0,72
A036,3,71.47,0.0,0,72
A036,4,143.85,0.0,0,72
A037,1,1.0,0.05555555555555555,4,72
A037,2,23.7,0.013888888888888888,1,72
A037,3,72.08,0.041666666666666664,3,72
A037,4,143.66,0.013888888888888888,1,72
A038,1,1.0,0.1527777777777778,11,72
A038,2,71.85,0.09722222222222222,7,72
A038,3,72.86,0.06944444444444445,5,72
A038,4,152.89,0.16666666666666666,12,72
A039,1,1.0,0.013888888888888888,1,72
A039,2,28.65,0.041666666666666664,3,72
A039,3,98.84,0.041666666666666664,3,72
A039,4,246.24,0.013888888888888888,1,72
A040,1,1.0,0.05555555555555555,4,72
A040,2,26.26,0.06944444444444445,5,72
A040,3,71.28,0.05555555555555555,4,72
A040,4,143.53,0.0,0,72
A041,1,1.0,0.013888888888888888,1,72
A041,2,31.78,0.05555555555555555,4,72
A041,3,75.74,0.05555555555555555,4,72
A041,4,141.84,0.027777777777777776,2,72
A042,1,1.0,0.013888888888888888,1,72
A042,2,28.93,0.0,0,72
A042,3,72.17,0.0,0,72
A042,4,146.02,0.0,0,72
A043,1,1.0,0.1388888888888889,10,72
A043,2,25.62,0.18055555555555555,13,72
A043,3,64.94,0.05555555555555555,4,72
A043,4,149.33,0.09722222222222222,7,72
A044,1,1.0,0.0,0,72
A044,2,47.66,0.0,0,72
A044,3,91.63,0.0,0,72
A044,4,155.27,0.0,0,72
A045,1,1.0,0.013888888888888888,1,72
A045,2,24.66,0.041666666666666664,3,72
A045,3,72.23,0.1111111111111111,8,72
A045,4,151.52,0.013888888888888888,1,72
A046,1,1.0,0.06944444444444445,5,72
A046,2,24.32,0.1111111111111111,8,72
A046,3,73.05,0.041666666666666664,3,72
A046,4,147.94,0.08333333333333333,6,72
A047,1,1.0,0.06944444444444445,5,72
A047,2,23.46,0.05555555555555555,4,72
A047,3,76.85,0.09722222222222222,7,72
A047,4,144.22,0.0,0,72
A048,1,1.0,0.0,0,72
A048,2,23.91,0.09722222222222222,7,72
A048,3,81.15,0.027777777777777776,2,72
A048,4,146.3,0.041666666666666664,3,72
A049,1,1.0,0.027777777777777776,2,72
A049,2,27.12,0.0,0,72
A049,3,111.38,0.013888888888888888,1,72
