UID,TEST,TSVR,item_code,confidence,accuracy
A075,1,1.0,IFR-N-i1,0.2,1.0
A075,2,28.68,IFR-N-i1,0.2,0.0
A075,3,71.37,IFR-N-i1,0.2,1.0
A075,4,244.53,IFR-N-i1,1.0,0.0
A076,1,1.0,IFR-N-i1,0.2,1.0
A076,2,27.3,IFR-N-i1,0.4,1.0
A076,3,74.88,IFR-N-i1,0.4,0.0
A076,4,149.28,IFR-N-i1,0.2,0.0
A077,1,1.0,IFR-N-i1,1.0,1.0
A077,2,53.88,IFR-N-i1,0.2,0.0
A077,3,78.36,IFR-N-i1,1.0,1.0
A077,4,149.75,IFR-N-i1,0.2,1.0
A078,1,1.0,IFR-N-i1,0.2,0.0
A078,2,26.17,IFR-N-i1,0.2,1.0
A078,3,72.3,IFR-N-i1,0.2,0.0
A078,4,140.08,IFR-N-i1,0.8,1.0
A079,1,1.0,IFR-N-i1,0.4,0.0
A079,2,26.11,IFR-N-i1,1.0,1.0
A079,3,74.0,IFR-N-i1,0.2,0.0
A079,4,194.42,IFR-N-i1,0.6,0.0
A080,1,1.0,IFR-N-i1,0.4,0.0
A080,2,29.03,IFR-N-i1,1.0,1.0
A080,3,72.87,IFR-N-i1,0.6,1.0
A080,4,145.77,IFR-N-i1,0.8,1.0
A081,1,1.0,IFR-N-i1,0.4,0.0
A081,2,31.39,IFR-N-i1,0.8,0.0
A081,3,80.13,IFR-N-i1,1.0,1.0
A081,4,154.53,IFR-N-i1,1.0,1.0
A082,1,1.0,IFR-N-i1,0.4,0.0
A082,2,27.97,IFR-N-i1,1.0,1.0
A082,3,75.71,IFR-N-i1,1.0,1.0
A082,4,170.25,IFR-N-i1,0.2,0.0
A083,1,1.0,IFR-N-i1,1.0,1.0
A083,2,25.15,IFR-N-i1,1.0,0.0
A083,3,74.3,IFR-N-i1,0.4,1.0
A083,4,144.91,IFR-N-i1,1.0,1.0
A084,1,1.0,IFR-N-i1,0.4,1.0
A084,2,27.25,IFR-N-i1,0.2,1.0
A084,3,91.97,IFR-N-i1,1.0,1.0
A084,4,162.51,IFR-N-i1,0.2,0.0
A085,1,1.0,IFR-N-i1,1.0,1.0
A085,2,24.51,IFR-N-i1,1.0,1.0
A085,3,71.4,IFR-N-i1,1.0,1.0
A085,4,170.65,IFR-N-i1,0.2,0.0
A086,1,1.0,IFR-N-i1,1.0,1.0
A086,2,23.47,IFR-N-i1,1.0,0.0
A086,3,145.29,IFR-N-i1,0.4,1.0
A086,4,169.55,IFR-N-i1,0.8,1.0
A087,1,1.0,IFR-N-i1,1.0,1.0
A087,2,31.07,IFR-N-i1,0.6,1.0
A087,3,72.8,IFR-N-i1,1.0,1.0
A087,4,144.2,IFR-N-i1,1.0,1.0
A088,1,1.0,IFR-N-i1,1.0,1.0
A088,2,24.25,IFR-N-i1,1.0,1.0
A088,3,74.91,IFR-N-i1,1.0,1.0
A088,4,149.93,IFR-N-i1,1.0,1.0
A089,1,1.0,IFR-N-i1,0.8,1.0
A089,2,32.14,IFR-N-i1,1.0,1.0
A089,3,79.34,IFR-N-i1,0.2,0.0
A089,4,146.96,IFR-N-i1,1.0,0.0
A090,1,1.0,IFR-N-i1,1.0,1.0
A090,2,23.54,IFR-N-i1,0.2,0.0
A090,3,95.42,IFR-N-i1,0.2,0.0
A090,4,144.07,IFR-N-i1,0.2,0.0
A091,1,1.0,IFR-N-i1,1.0,1.0
A091,2,22.2,IFR-N-i1,1.0,1.0
A091,3,73.64,IFR-N-i1,0.2,0.0
A091,4,142.61,IFR-N-i1,0.2,0.0
A092,1,1.0,IFR-N-i1,0.2,0.0
A092,2,22.83,IFR-N-i1,0.2,0.0
A092,3,71.31,IFR-N-i1,0.4,0.0
A092,4,146.16,IFR-N-i1,0.2,0.0
A093,1,1.0,IFR-N-i1,0.8,1.0
A093,2,22.09,IFR-N-i1,0.8,1.0
A093,3,70.22,IFR-N-i1,0.6,1.0
A093,4,140.95,IFR-N-i1,0.6,1.0
A094,1,1.0,IFR-N-i1,0.2,0.0
A094,2,22.98,IFR-N-i1,0.4,1.0
A094,3,76.21,IFR-N-i1,0.2,0.0
A094,4,149.99,IFR-N-i1,0.2,1.0
A095,1,1.0,IFR-N-i1,1.0,1.0
A095,2,29.71,IFR-N-i1,0.6,1.0
A095,3,78.76,IFR-N-i1,0.2,0.0
A095,4,148.79,IFR-N-i1,0.4,1.0
A096,1,1.0,IFR-N-i1,0.4,1.0
A096,2,24.49,IFR-N-i1,0.6,0.0
A096,3,71.19,IFR-N-i1,0.4,1.0
A096,4,143.66,IFR-N-i1,0.2,0.0
A097,1,1.0,IFR-N-i1,0.4,1.0
A097,2,24.37,IFR-N-i1,0.4,1.0
A097,3,70.83,IFR-N-i1,0.6,1.0
A097,4,144.85,IFR-N-i1,0.4,1.0
A098,1,1.0,IFR-N-i1,0.2,0.0
A098,2,25.77,IFR-N-i1,0.4,1.0
A098,3,78.84,IFR-N-i1,1.0,1.0
A098,4,146.29,IFR-N-i1,0.2,0.0
A099,1,1.0,IFR-N-i1,1.0,1.0
A099,2,28.75,IFR-N-i1,0.6,1.0
A099,3,78.57,IFR-N-i1,1.0,1.0
A099,4,143.51,IFR-N-i1,1.0,1.0
A100,1,1.0,IFR-N-i1,0.8,1.0
A100,2,31.14,IFR-N-i1,0.8,1.0
A100,3,75.34,IFR-N-i1,0.8,0.0
A100,4,146.8,IFR-N-i1,0.6,1.0
A101,1,1.0,IFR-N-i1,0.4,0.0
A101,2,29.12,IFR-N-i1,0.2,0.0
A101,3,75.21,IFR-N-i1,0.2,0.0
A101,4,150.22,IFR-N-i1,0.2,0.0
A102,1,1.0,IFR-N-i1,1.0,0.0
A102,2,29.13,IFR-N-i1,1.0,1.0
A102,3,75.27,IFR-N-i1,0.2,1.0
A102,4,150.41,IFR-N-i1,0.2,0.0
A103,1,1.0,IFR-N-i1,1.0,1.0
A103,2,27.26,IFR-N-i1,0.2,0.0
A103,3,80.24,IFR-N-i1,0.2,0.0
A103,4,149.72,IFR-N-i1,0.2,1.0
A104,1,1.0,IFR-N-i1,1.0,1.0
A104,2,22.6,IFR-N-i1,0.4,0.0
A104,3,72.62,IFR-N-i1,0.2,0.0
A104,4,145.78,IFR-N-i1,0.2,0.0
A105,1,1.0,IFR-N-i1,1.0,1.0
A105,2,22.77,IFR-N-i1,1.0,1.0
A105,3,69.46,IFR-N-i1,0.2,0.0
A105,4,146.2,IFR-N-i1,0.4,0.0
A106,1,1.0,IFR-N-i1,1.0,1.0
A106,2,22.64,IFR-N-i1,1.0,1.0
A106,3,66.08,IFR-N-i1,1.0,1.0
A106,4,147.13,IFR-N-i1,1.0,1.0
A107,1,1.0,IFR-N-i1,0.2,1.0
A107,2,26.22,IFR-N-i1,0.4,1.0
A107,3,71.45,IFR-N-i1,0.2,0.0
A107,4,145.95,IFR-N-i1,0.2,1.0
A108,1,1.0,IFR-N-i1,0.2,0.0
A108,2,27.61,IFR-N-i1,0.2,0.0
A108,3,68.96,IFR-N-i1,0.2,0.0
A108,4,152.12,IFR-N-i1,0.2,0.0
A109,1,1.0,IFR-N-i1,0.8,1.0
A109,2,24.65,IFR-N-i1,0.6,0.0
A109,3,71.17,IFR-N-i1,0.8,1.0
A109,4,149.87,IFR-N-i1,0.6,0.0
A010,1,1.0,IFR-N-i2,0.2,1.0
A010,2,21.9,IFR-N-i2,0.2,0.0
A010,3,80.88,IFR-N-i2,0.2,0.0
A010,4,145.31,IFR-N-i2,1.0,1.0
A011,1,1.0,IFR-N-i2,1.0,1.0
A011,2,24.57,IFR-N-i2,0.6,1.0
A011,3,72.55,IFR-N-i2,1.0,1.0
A011,4,148.85,IFR-N-i2,0.4,1.0
A012,1,1.0,IFR-N-i2,1.0,1.0
A012,2,25.6,IFR-N-i2,1.0,0.0
A012,3,166.33,IFR-N-i2,0.8,1.0
A012,4,166.87,IFR-N-i2,0.2,0.0
A013,1,1.0,IFR-N-i2,0.2,0.0
A013,2,24.77,IFR-N-i2,0.8,1.0
A013,3,79.66,IFR-N-i2,1.0,0.0
A013,4,147.13,IFR-N-i2,0.6,1.0
A014,1,1.0,IFR-N-i2,0.2,0.0
A014,2,25.66,IFR-N-i2,1.0,1.0
A014,3,70.56,IFR-N-i2,0.4,1.0
A014,4,148.87,IFR-N-i2,1.0,1.0
A015,1,1.0,IFR-N-i2,1.0,1.0
A015,2,23.69,IFR-N-i2,0.6,1.0
A015,3,70.59,IFR-N-i2,1.0,1.0
A015,4,146.54,IFR-N-i2,1.0,1.0
A016,1,1.0,IFR-N-i2,0.8,1.0
A016,2,32.85,IFR-N-i2,0.2,0.0
A016,3,80.64,IFR-N-i2,0.8,1.0
A016,4,150.8,IFR-N-i2,0.4,0.0
A017,1,1.0,IFR-N-i2,1.0,1.0
A017,2,20.61,IFR-N-i2,0.2,0.0
A017,3,61.28,IFR-N-i2,1.0,1.0
A017,4,140.49,IFR-N-i2,1.0,1.0
A018,1,1.0,IFR-N-i2,0.2,1.0
A018,2,34.03,IFR-N-i2,1.0,1.0
A018,3,83.64,IFR-N-i2,0.2,0.0
A018,4,150.87,IFR-N-i2,1.0,1.0
A019,1,1.0,IFR-N-i2,0.8,1.0
A019,2,28.69,IFR-N-i2,0.6,1.0
A019,3,83.68,IFR-N-i2,0.6,0.0
A019,4,154.76,IFR-N-i2,0.2,0.0
A020,1,1.0,IFR-N-i2,1.0,1.0
A020,2,26.85,IFR-N-i2,0.2,0.0
A020,3,78.25,IFR-N-i2,0.2,0.0
A020,4,145.78,IFR-N-i2,0.2,0.0
A021,1,1.0,IFR-N-i2,0.2,0.0
A021,2,30.21,IFR-N-i2,0.4,0.0
A021,3,74.19,IFR-N-i2,1.0,1.0
A021,4,140.39,IFR-N-i2,0.2,1.0
A022,1,1.0,IFR-N-i2,0.2,0.0
A022,2,24.15,IFR-N-i2,0.2,1.0
A022,3,74.46,IFR-N-i2,0.2,0.0
A022,4,141.71,IFR-N-i2,0.2,1.0
A023,1,1.0,IFR-N-i2,0.2,0.0
A023,2,25.63,IFR-N-i2,0.2,0.0
A023,3,72.2,IFR-N-i2,0.2,0.0
A023,4,145.07,IFR-N-i2,0.6,0.0
A024,1,1.0,IFR-N-i2,1.0,1.0
A024,2,29.57,IFR-N-i2,1.0,1.0
A024,3,91.47,IFR-N-i2,0.6,1.0
A024,4,145.65,IFR-N-i2,0.2,0.0
A025,1,1.0,IFR-N-i2,0.4,1.0
A025,2,23.33,IFR-N-i2,0.2,1.0
A025,3,72.94,IFR-N-i2,0.6,1.0
A025,4,137.74,IFR-N-i2,0.2,0.0
A026,1,1.0,IFR-N-i2,0.2,0.0
A026,2,26.48,IFR-N-i2,1.0,1.0
A026,3,75.46,IFR-N-i2,1.0,1.0
A026,4,147.65,IFR-N-i2,1.0,1.0
A027,1,1.0,IFR-N-i2,0.2,0.0
A027,2,28.26,IFR-N-i2,0.2,0.0
A027,3,74.58,IFR-N-i2,1.0,1.0
A027,4,145.92,IFR-N-i2,0.2,1.0
A028,1,1.0,IFR-N-i2,1.0,1.0
A028,2,22.82,IFR-N-i2,1.0,1.0
A028,3,72.26,IFR-N-i2,0.2,0.0
A028,4,138.91,IFR-N-i2,1.0,0.0
A029,1,1.0,IFR-N-i2,1.0,1.0
A029,2,28.43,IFR-N-i2,0.6,1.0
A029,3,93.26,IFR-N-i2,1.0,1.0
A029,4,143.14,IFR-N-i2,0.4,1.0
A030,1,1.0,IFR-N-i2,0.2,0.0
A030,2,32.95,IFR-N-i2,0.6,1.0
A030,3,71.93,IFR-N-i2,0.2,0.0
A030,4,150.46,IFR-N-i2,1.0,1.0
A031,1,1.0,IFR-N-i2,1.0,1.0
A031,2,32.41,IFR-N-i2,0.2,1.0
A031,3,71.56,IFR-N-i2,1.0,1.0
A031,4,143.85,IFR-N-i2,0.8,1.0
A032,1,1.0,IFR-N-i2,1.0,1.0
A032,2,57.18,IFR-N-i2,1.0,1.0
A032,3,80.16,IFR-N-i2,0.2,0.0
A032,4,144.51,IFR-N-i2,0.2,0.0
A033,1,1.0,IFR-N-i2,1.0,1.0
A033,2,29.16,IFR-N-i2,0.4,0.0
A033,3,72.6,IFR-N-i2,1.0,1.0
A033,4,168.33,IFR-N-i2,1.0,1.0
A034,1,1.0,IFR-N-i2,1.0,1.0
A034,2,26.08,IFR-N-i2,0.8,1.0
A034,3,74.28,IFR-N-i2,0.6,1.0
A034,4,145.38,IFR-N-i2,0.8,1.0
A035,1,1.0,IFR-N-i2,0.2,0.0
A035,2,44.76,IFR-N-i2,0.6,0.0
A035,3,79.98,IFR-N-i2,0.6,1.0
A035,4,152.47,IFR-N-i2,0.4,0.0
A036,1,1.0,IFR-N-i2,0.4,1.0
A036,2,21.63,IFR-N-i2,0.2,0.0
A036,3,71.47,IFR-N-i2,0.2,0.0
A036,4,143.85,IFR-N-i2,0.2,1.0
A037,1,1.0,IFR-N-i2,1.0,1.0
A037,2,23.7,IFR-N-i2,0.4,1.0
A037,3,72.08,IFR-N-i2,0.8,1.0
A037,4,143.66,IFR-N-i2,0.2,0.0
A038,1,1.0,IFR-N-i2,0.2,0.0
A038,2,71.85,IFR-N-i2,1.0,1.0
A038,3,72.86,IFR-N-i2,1.0,1.0
A038,4,152.89,IFR-N-i2,1.0,1.0
A039,1,1.0,IFR-N-i2,1.0,1.0
A039,2,28.65,IFR-N-i2,1.0,1.0
A039,3,98.84,IFR-N-i2,0.2,0.0
A039,4,246.24,IFR-N-i2,0.2,0.0
A040,1,1.0,IFR-N-i2,0.2,0.0
A040,2,26.26,IFR-N-i2,0.6,0.0
A040,3,71.28,IFR-N-i2,0.2,0.0
A040,4,143.53,IFR-N-i2,0.2,0.0
A041,1,1.0,IFR-N-i2,1.0,1.0
A041,2,31.78,IFR-N-i2,1.0,0.0
A041,3,75.74,IFR-N-i2,0.6,0.0
