model,r_squared,adj_r_squared,bootstrap_ci_lower,bootstrap_ci_upper,difference,difference_ci_lower,difference_ci_upper,p_value
intercept,0.26514449224715675,0.22476781599700046,0.15206350094180737,0.46662197763666546,,,,
slope,0.11516934394968881,0.06655227493593541,0.05830198489326796,0.28824045627874845,,,,
difference,0.14997514829746794,,,,0.14997514829746794,-0.06575005257766287,0.35828182469254527,0.089
