UID,TEST,congruence,IRT_theta,CTT_mean,TSVR_hours
A010,1,common,1.6000581,0.8947368421052632,1.0
A010,2,common,0.4028944,0.6842105263157895,21.9
A010,3,common,-0.8561796,0.3421052631578947,80.88
A010,4,common,-0.14796121,0.5394736842105263,145.31
A011,1,common,0.5500402,0.7368421052631579,1.0
A011,2,common,0.75908333,0.8421052631578947,24.57
A011,3,common,-0.6526953,0.5526315789473685,72.55
A011,4,common,-0.6465008,0.5526315789473685,148.85
A012,1,common,0.48022103,0.631578947368421,1.0
A012,2,common,-0.25840938,0.4736842105263157,25.6
A012,3,common,0.65839624,0.6973684210526315,166.33
A012,4,common,0.055890147,0.6052631578947368,166.87
A013,1,common,-1.0432792,0.3421052631578947,1.0
A013,2,common,-0.48492253,0.6973684210526315,24.77
A013,3,common,0.6412586,0.618421052631579,79.66
A013,4,common,-1.0111758,0.5,147.13
A014,1,common,0.1288651,0.5,1.0
A014,2,common,1.320731,0.868421052631579,25.66
A014,3,common,0.48942116,0.7763157894736842,70.56
A014,4,common,-0.78735405,0.631578947368421,148.87
A015,1,common,1.4246364,0.8421052631578947,1.0
A015,2,common,1.1372008,0.8552631578947368,23.69
A015,3,common,1.4038924,0.8421052631578947,70.59
A015,4,common,-0.47030097,0.5657894736842105,146.54
A016,1,common,1.3420854,0.631578947368421,1.0
A016,2,common,0.5615982,0.6578947368421053,32.85
A016,3,common,0.17722866,0.6447368421052632,80.64
A016,4,common,-0.875939,0.5131578947368421,150.8
A017,1,common,-0.17695434,0.6052631578947368,1.0
A017,2,common,0.741939,0.7236842105263158,20.61
A017,3,common,0.18003759,0.6578947368421053,61.28
A017,4,common,0.4956496,0.7105263157894737,140.49
A018,1,common,1.0604457,0.7368421052631579,1.0
A018,2,common,-0.07882557,0.7105263157894737,34.03
A018,3,common,-1.0491173,0.3947368421052631,83.64
A018,4,common,0.44031787,0.7236842105263158,150.87
A019,1,common,-0.8709922,0.5526315789473685,1.0
A019,2,common,-0.35722595,0.5263157894736842,28.69
A019,3,common,-0.8311249,0.4210526315789473,83.68
A019,4,common,-0.5362667,0.6578947368421053,154.76
A020,1,common,0.3413008,0.631578947368421,1.0
A020,2,common,0.4715719,0.6710526315789473,26.85
A020,3,common,0.16060348,0.7368421052631579,78.25
A020,4,common,-1.9810846,0.2105263157894736,145.78
A021,1,common,0.80163884,0.7631578947368421,1.0
A021,2,common,0.10639259,0.6052631578947368,30.21
A021,3,common,0.81882334,0.8157894736842105,74.19
A021,4,common,0.684539,0.6710526315789473,140.39
A022,1,common,-0.5011533,0.4868421052631579,1.0
A022,2,common,0.2091155,0.618421052631579,24.15
A022,3,common,0.274723,0.5526315789473685,74.46
A022,4,common,0.382118,0.6842105263157895,141.71
A023,1,common,0.56837475,0.6447368421052632,1.0
A023,2,common,-0.05869632,0.6052631578947368,25.63
A023,3,common,0.17865486,0.6578947368421053,72.2
A023,4,common,0.5444067,0.75,145.07
A024,1,common,0.41629925,0.631578947368421,1.0
A024,2,common,0.16924852,0.5526315789473685,29.57
A024,3,common,0.1597057,0.5657894736842105,91.47
A024,4,common,-0.92016464,0.4473684210526316,145.65
A025,1,common,1.3860037,0.8947368421052632,1.0
A025,2,common,1.3983331,0.868421052631579,23.33
A025,3,common,-0.60741305,0.5394736842105263,72.94
A025,4,common,-0.2785447,0.5,137.74
A026,1,common,0.46583936,0.6842105263157895,1.0
A026,2,common,-0.6492574,0.4605263157894737,26.48
A026,3,common,0.53066975,0.75,75.46
A026,4,common,-0.24492168,0.75,147.65
A027,1,common,0.16586939,0.5789473684210527,1.0
A027,2,common,0.39497662,0.618421052631579,28.26
A027,3,common,-0.28117114,0.7368421052631579,74.58
A027,4,common,-0.5017699,0.6052631578947368,145.92
A028,1,common,1.5246681,0.7763157894736842,1.0
A028,2,common,-0.05649298,0.7631578947368421,22.82
A028,3,common,-0.29285774,0.4473684210526316,72.26
A028,4,common,-0.8199109,0.5394736842105263,138.91
A029,1,common,2.1297944,0.9210526315789472,1.0
A029,2,common,0.2633854,0.6710526315789473,28.43
A029,3,common,0.59773153,0.7105263157894737,93.26
A029,4,common,0.7445269,0.8157894736842105,143.14
A030,1,common,0.26681468,0.5394736842105263,1.0
A030,2,common,0.6206771,0.6578947368421053,32.95
A030,3,common,0.26908645,0.5131578947368421,71.93
A030,4,common,0.2812115,0.6973684210526315,150.46
A031,1,common,1.4706349,0.868421052631579,1.0
A031,2,common,0.32438183,0.7631578947368421,32.41
A031,3,common,0.38665065,0.7631578947368421,71.56
A031,4,common,-1.0031985,0.4605263157894737,143.85
A032,1,common,0.82081884,0.7631578947368421,1.0
A032,2,common,-0.60881156,0.5394736842105263,57.18
A032,3,common,0.47702068,0.6052631578947368,80.16
A032,4,common,1.7664504,0.7763157894736842,144.51
A033,1,common,-0.4666309,0.6578947368421053,1.0
A033,2,common,-0.5709601,0.5,29.16
