congruence,r,CI_lower,CI_upper,p_uncorrected,n,p_holm,threshold_0.70,threshold_0.90
common,0.8748920252380044,0.8497344968928241,0.8960743082619832,2.1949723671148617e-127,400,2.1949723671148617e-127,True,False
congruent,0.882329052412435,0.8585541874255153,0.902317760817083,2.4175819716799487e-132,400,4.8351639433598974e-132,True,False
incongruent,0.9071397349852155,0.8880796943964615,0.9230860765162797,1.0916726968194756e-151,400,3.275018090458427e-151,True,True
Overall,0.8737200303348855,0.8596336956149139,0.8864790377923467,0.0,1200,0.0,True,False
