composite_ID,UID,test,congruence,CTT_mean,n_items,TEST
A031_3,A031,3,incongruent,0.36538461538461536,13,3
A031_4,A031,4,common,0.4605263157894737,19,4
A031_4,A031,4,congruent,0.5972222222222222,18,4
A031_4,A031,4,incongruent,0.28846153846153844,13,4
A032_1,A032,1,common,0.7631578947368421,19,1
A032_1,A032,1,congruent,0.5277777777777778,18,1
A032_1,A032,1,incongruent,0.6923076923076923,13,1
A032_2,A032,2,common,0.5394736842105263,19,2
A032_2,A032,2,congruent,0.8888888888888888,18,2
A032_2,A032,2,incongruent,0.23076923076923078,13,2
A032_3,A032,3,common,0.6052631578947368,19,3
A032_3,A032,3,congruent,0.8611111111111112,18,3
A032_3,A032,3,incongruent,0.6346153846153846,13,3
A032_4,A032,4,common,0.7763157894736842,19,4
A032_4,A032,4,congruent,0.7916666666666666,18,4
A032_4,A032,4,incongruent,0.9230769230769231,13,4
A033_1,A033,1,common,0.6578947368421053,19,1
A033_1,A033,1,congruent,0.5555555555555556,18,1
A033_1,A033,1,incongruent,0.6153846153846154,13,1
A033_2,A033,2,common,0.5,19,2
A033_2,A033,2,congruent,0.7777777777777778,18,2
A033_2,A033,2,incongruent,0.5384615384615384,13,2
A033_3,A033,3,common,0.7631578947368421,19,3
A033_3,A033,3,congruent,0.75,18,3
A033_3,A033,3,incongruent,0.5769230769230769,13,3
A033_4,A033,4,common,0.618421052631579,19,4
A033_4,A033,4,congruent,0.7222222222222222,18,4
A033_4,A033,4,incongruent,0.6346153846153846,13,4
A034_1,A034,1,common,0.8421052631578947,19,1
A034_1,A034,1,congruent,0.875,18,1
A034_1,A034,1,incongruent,0.7884615384615384,13,1
A034_2,A034,2,common,0.8157894736842105,19,2
A034_2,A034,2,congruent,0.7777777777777778,18,2
A034_2,A034,2,incongruent,0.8076923076923077,13,2
A034_3,A034,3,common,0.5526315789473685,19,3
A034_3,A034,3,congruent,0.5555555555555556,18,3
A034_3,A034,3,incongruent,0.7692307692307693,13,3
A034_4,A034,4,common,0.5921052631578947,19,4
A034_4,A034,4,congruent,0.7777777777777778,18,4
A034_4,A034,4,incongruent,0.5384615384615384,13,4
A035_1,A035,1,common,0.39473684210526316,19,1
A035_1,A035,1,congruent,0.4722222222222222,18,1
A035_1,A035,1,incongruent,0.5384615384615384,13,1
A035_2,A035,2,common,0.8157894736842105,19,2
A035_2,A035,2,congruent,0.7222222222222222,18,2
A035_2,A035,2,incongruent,0.5769230769230769,13,2
A035_3,A035,3,common,0.5263157894736842,19,3
A035_3,A035,3,congruent,0.6944444444444444,18,3
A035_3,A035,3,incongruent,0.4230769230769231,13,3
A035_4,A035,4,common,0.3684210526315789,19,4
A035_4,A035,4,congruent,0.5277777777777778,18,4
A035_4,A035,4,incongruent,0.5384615384615384,13,4
A036_1,A036,1,common,0.7368421052631579,19,1
A036_1,A036,1,congruent,0.9166666666666666,18,1
A036_1,A036,1,incongruent,0.75,13,1
A036_2,A036,2,common,0.6052631578947368,19,2
A036_2,A036,2,congruent,0.5694444444444444,18,2
A036_2,A036,2,incongruent,0.6538461538461539,13,2
A036_3,A036,3,common,0.5921052631578947,19,3
A036_3,A036,3,congruent,0.6666666666666666,18,3
A036_3,A036,3,incongruent,0.4230769230769231,13,3
A036_4,A036,4,common,0.42105263157894735,19,4
A036_4,A036,4,congruent,0.6111111111111112,18,4
A036_4,A036,4,incongruent,0.4423076923076923,13,4
A037_1,A037,1,common,1.0,19,1
A037_1,A037,1,congruent,0.6527777777777778,18,1
A037_1,A037,1,incongruent,0.6538461538461539,13,1
A037_2,A037,2,common,0.8157894736842105,19,2
A037_2,A037,2,congruent,0.8472222222222222,18,2
A037_2,A037,2,incongruent,0.7884615384615384,13,2
A037_3,A037,3,common,0.5789473684210527,19,3
A037_3,A037,3,congruent,0.8194444444444444,18,3
A037_3,A037,3,incongruent,0.6730769230769231,13,3
A037_4,A037,4,common,0.7368421052631579,19,4
A037_4,A037,4,congruent,0.5833333333333334,18,4
A037_4,A037,4,incongruent,0.46153846153846156,13,4
A038_1,A038,1,common,0.7894736842105263,19,1
A038_1,A038,1,congruent,0.7777777777777778,18,1
A038_1,A038,1,incongruent,0.8653846153846154,13,1
A038_2,A038,2,common,0.7894736842105263,19,2
A038_2,A038,2,congruent,0.6388888888888888,18,2
A038_2,A038,2,incongruent,0.4423076923076923,13,2
A038_3,A038,3,common,0.7894736842105263,19,3
A038_3,A038,3,congruent,0.5,18,3
A038_3,A038,3,incongruent,0.8461538461538461,13,3
A038_4,A038,4,common,0.7368421052631579,19,4
A038_4,A038,4,congruent,0.7083333333333334,18,4
A038_4,A038,4,incongruent,0.3076923076923077,13,4
A039_1,A039,1,common,0.8421052631578947,19,1
A039_1,A039,1,congruent,0.8472222222222222,18,1
A039_1,A039,1,incongruent,1.0,13,1
A039_2,A039,2,common,0.8947368421052632,19,2
A039_2,A039,2,congruent,0.8333333333333334,18,2
A039_2,A039,2,incongruent,0.6538461538461539,13,2
A039_3,A039,3,common,0.5526315789473685,19,3
A039_3,A039,3,congruent,0.6111111111111112,18,3
A039_3,A039,3,incongruent,0.8653846153846154,13,3
A039_4,A039,4,common,0.5789473684210527,19,4
A039_4,A039,4,congruent,0.7638888888888888,18,4
A039_4,A039,4,incongruent,0.9230769230769231,13,4
A040_1,A040,1,common,0.19736842105263158,19,1
A040_1,A040,1,congruent,0.7638888888888888,18,1
A040_1,A040,1,incongruent,0.6730769230769231,13,1
A040_2,A040,2,common,0.5526315789473685,19,2
A040_2,A040,2,congruent,0.6527777777777778,18,2
A040_2,A040,2,incongruent,0.7307692307692307,13,2
A040_3,A040,3,common,0.4473684210526316,19,3
A040_3,A040,3,congruent,0.4861111111111111,18,3
A040_3,A040,3,incongruent,0.19230769230769232,13,3
A040_4,A040,4,common,0.4473684210526316,19,4
A040_4,A040,4,congruent,0.5416666666666666,18,4
A040_4,A040,4,incongruent,0.17307692307692307,13,4
A041_1,A041,1,common,0.8026315789473685,19,1
A041_1,A041,1,congruent,0.9166666666666666,18,1
A041_1,A041,1,incongruent,0.7307692307692307,13,1
A041_2,A041,2,common,0.47368421052631576,19,2
A041_2,A041,2,congruent,0.5416666666666666,18,2
A041_2,A041,2,incongruent,0.5769230769230769,13,2
A041_3,A041,3,common,0.4473684210526316,19,3
A041_3,A041,3,congruent,0.9444444444444444,18,3
A041_3,A041,3,incongruent,0.6923076923076923,13,3
A041_4,A041,4,common,0.5526315789473685,19,4
A041_4,A041,4,congruent,0.4444444444444444,18,4
A041_4,A041,4,incongruent,0.8846153846153846,13,4
A042_1,A042,1,common,0.40789473684210525,19,1
A042_1,A042,1,congruent,0.5277777777777778,18,1
A042_1,A042,1,incongruent,0.46153846153846156,13,1
A042_2,A042,2,common,0.4473684210526316,19,2
A042_2,A042,2,congruent,0.625,18,2
A042_2,A042,2,incongruent,0.4423076923076923,13,2
A042_3,A042,3,common,0.5131578947368421,19,3
A042_3,A042,3,congruent,0.4583333333333333,18,3
A042_3,A042,3,incongruent,0.6153846153846154,13,3
A042_4,A042,4,common,0.5131578947368421,19,4
A042_4,A042,4,congruent,0.4722222222222222,18,4
