metric,IRT,CTT,delta,interpretation
AIC,2529.9793033447404,-1077.4542236637608,-3607.433527008501,Strong evidence for CTT
BIC,2596.1503022098295,-1011.2832247986717,-3607.433527008501,Strong evidence for CTT
