composite_ID,UID,TEST,TSVR_hours,theta,congruence,recip_TSVR,log_TSVR
A017_3,A017,3,61.28,0.18003759,common,0.016056518946692355,4.131640346965797
A017_4,A017,4,140.49,0.4956496,common,0.007067637288854335,4.952229043207861
A018_1,A018,1,1.0,1.0604457,common,0.5,0.6931471805599453
A018_2,A018,2,34.03,-0.07882557,common,0.02854695974878675,3.5562048372093953
A018_3,A018,3,83.64,-1.0491173,common,0.011814744801512287,4.438406968109989
A018_4,A018,4,150.87,0.44031787,common,0.00658457891617831,5.023024891742178
A019_1,A019,1,1.0,-0.8709922,common,0.5,0.6931471805599453
A019_2,A019,2,28.69,-0.35722595,common,0.03368137420006736,3.3908102887756684
A019_3,A019,3,83.68,-0.8311249,common,0.011809163911195086,4.4388794462666645
A019_4,A019,4,154.76,-0.5362667,common,0.006420133538777607,5.048316361063944
A020_1,A020,1,1.0,0.3413008,common,0.5,0.6931471805599453
A020_2,A020,2,26.85,0.4715719,common,0.03590664272890485,3.326832966373293
A020_3,A020,3,78.25,0.16060348,common,0.012618296529968454,4.37260741275739
A020_4,A020,4,145.78,-1.9810846,common,0.006812917291184085,4.9889348671169165
A021_1,A021,1,1.0,0.80163884,common,0.5,0.6931471805599453
A021_2,A021,2,30.21,0.10639259,common,0.03204101249599487,3.440738556282688
A021_3,A021,3,74.19,0.81882334,common,0.013299640909695438,4.320018243389936
A021_4,A021,4,140.39,0.684539,common,0.007072635971426551,4.951522029603749
A022_1,A022,1,1.0,-0.5011533,common,0.5,0.6931471805599453
A022_2,A022,2,24.15,0.2091155,common,0.039761431411530816,3.224857896545748
A022_3,A022,3,74.46,0.274723,common,0.0132520540683806,4.323602714536165
A022_4,A022,4,141.71,0.382118,common,0.007007217433956975,4.9608145991123
A023_1,A023,1,1.0,0.56837475,common,0.5,0.6931471805599453
A023_2,A023,2,25.63,-0.05869632,common,0.03755163349605708,3.282038399825841
A023_3,A023,3,72.2,0.17865486,common,0.01366120218579235,4.293195420967266
A023_4,A023,4,145.07,0.5444067,common,0.006846032724036421,4.984085958862719
A024_1,A024,1,1.0,0.41629925,common,0.5,0.6931471805599453
A024_2,A024,2,29.57,0.16924852,common,0.03271180896303565,3.420019135902743
A024_3,A024,3,91.47,0.1597057,common,0.010814318157240186,4.526884267589547
A024_4,A024,4,145.65,-0.92016464,common,0.006818956699624957,4.9880487954234605
A025_1,A025,1,1.0,1.3860037,common,0.5,0.6931471805599453
A025_2,A025,2,23.33,1.3983331,common,0.04110152075626799,3.1917101567954314
A025_3,A025,3,72.94,-0.60741305,common,0.01352447930754666,4.303253953508486
A025_4,A025,4,137.74,-0.2785447,common,0.00720772668300418,4.932601677957155
A026_1,A026,1,1.0,0.46583936,common,0.5,0.6931471805599453
A026_2,A026,2,26.48,-0.6492574,common,0.036390101892285295,3.3134584673541485
A026_3,A026,3,75.46,0.53066975,common,0.013078733978550878,4.336767728268267
A026_4,A026,4,147.65,-0.24492168,common,0.006727211570803902,5.001594549444107
A027_1,A027,1,1.0,0.16586939,common,0.5,0.6931471805599453
A027_2,A027,2,28.26,0.39497662,common,0.034176349965823645,3.3762213955919784
A027_3,A027,3,74.58,-0.28117114,common,0.013231013495633766,4.325191697921343
A027_4,A027,4,145.92,-0.5017699,common,0.006806425265450586,4.989888220951467
A028_1,A028,1,1.0,1.5246681,common,0.5,0.6931471805599453
A028_2,A028,2,22.82,-0.05649298,common,0.041981528127623846,3.170525563927154
A028_3,A028,3,72.26,-0.29285774,common,0.01365001365001365,4.294014757350668
A028_4,A028,4,138.91,-0.8199109,common,0.007147451933385748,4.940999358745194
A029_1,A029,1,1.0,2.1297944,common,0.5,0.6931471805599453
A029_2,A029,2,28.43,0.2633854,common,0.03397893306150187,3.382014562245381
A029_3,A029,3,93.26,0.59773153,common,0.010608953957139825,4.546056921495585
A029_4,A029,4,143.14,0.7445269,common,0.006937699458859443,4.970785049496295
A030_1,A030,1,1.0,0.26681468,common,0.5,0.6931471805599453
A030_2,A030,2,32.95,0.6206771,common,0.02945508100147275,3.5248888540047054
A030_3,A030,3,71.93,0.26908645,common,0.01371177841766077,4.289500076996142
A030_4,A030,4,150.46,0.2812115,common,0.006602403274792024,5.020321563685677
A031_1,A031,1,1.0,1.4706349,common,0.5,0.6931471805599453
A031_2,A031,2,32.41,0.32438183,common,0.0299311583358276,3.508855256368665
A031_3,A031,3,71.56,0.38665065,common,0.013781697905181918,4.2844138058068815
A031_4,A031,4,143.85,-1.0031985,common,0.0069036934760096655,4.975698724215359
A032_1,A032,1,1.0,0.82081884,common,0.5,0.6931471805599453
A032_2,A032,2,57.18,-0.60881156,common,0.017188037126160193,4.063541653067055
A032_3,A032,3,80.16,0.47702068,common,0.01232134056185313,4.396422514957614
A032_4,A032,4,144.51,1.7664504,common,0.0068723799051611575,4.980244812772187
A033_1,A033,1,1.0,-0.4666309,common,0.5,0.6931471805599453
A033_2,A033,2,29.16,-0.5709601,common,0.033156498673740056,3.4065165431397553
A033_3,A033,3,72.6,0.934703,common,0.013586956521739132,4.298645025734831
A033_4,A033,4,168.33,-0.24082223,common,0.005905628063544557,5.131849473677249
A034_1,A034,1,1.0,1.3387271,common,0.5,0.6931471805599453
A034_2,A034,2,26.08,1.1189219,common,0.03692762186115214,3.298795448044074
A034_3,A034,3,74.28,-0.46482885,common,0.013283740701381509,4.3212144952771245
A034_4,A034,4,145.38,0.049237438,common,0.006831534362617844,4.986205980173081
A035_1,A035,1,1.0,-0.80652094,common,0.5,0.6931471805599453
A035_2,A035,2,44.76,1.1643237,common,0.021853146853146856,3.8234103470715426
A035_3,A035,3,79.98,-0.59551436,common,0.012348728081007655,4.394202210604015
A035_4,A035,4,152.47,-0.8755717,common,0.006515931452401121,5.033505108187003
A036_1,A036,1,1.0,0.74764776,common,0.5,0.6931471805599453
A036_2,A036,2,21.63,-0.5022708,common,0.04418912947414936,3.119276459645446
A036_3,A036,3,71.47,-0.018576257,common,0.013798813302056023,4.28317268312119
A036_4,A036,4,143.85,-1.1207412,common,0.0069036934760096655,4.975698724215359
A037_1,A037,1,1.0,1.6113735,common,0.5,0.6931471805599453
A037_2,A037,2,23.7,1.1598858,common,0.04048582995951417,3.2068032436339315
A037_3,A037,3,72.08,-0.4739782,common,0.013683634373289545,4.291554731509806
A037_4,A037,4,143.66,0.41819012,common,0.006912760956726116,4.974386161421135
A038_1,A038,1,1.0,1.078226,common,0.5,0.6931471805599453
A038_2,A038,2,71.85,-0.3119291,common,0.013726835964310227,4.288402532641213
A038_3,A038,3,72.86,1.2023473,common,0.013539128080151638,4.3021714094244174
A038_4,A038,4,152.89,0.5360858,common,0.006498148027812074,5.0362380614757605
A039_1,A039,1,1.0,2.113206,common,0.5,0.6931471805599453
A039_2,A039,2,28.65,0.72722864,common,0.03372681281618887,3.3894621254437345
A039_3,A039,3,98.84,0.6532409,common,0.01001602564102564,4.603568904621118
A039_4,A039,4,246.24,-0.19232592,common,0.004044652968775279,5.510359524791073
A040_1,A040,1,1.0,-1.5618265,common,0.5,0.6931471805599453
A040_2,A040,2,26.26,-0.31991416,common,0.036683785766691124,3.3054204262683866
