composite_ID,theta_common,theta_congruent,theta_incongruent,se_common,se_congruent,se_incongruent,CTT_common,CTT_congruent,CTT_incongruent,UID,TEST
A010_1,1.6000581,2.3352752,1.8495548,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.8947368421052632,1.0,0.8653846153846154,A010,1
A010_2,0.4028944,0.42396438,-0.015681326,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.6842105263157895,0.8055555555555556,0.5769230769230769,A010,2
A010_3,-0.8561796,-0.40273643,-0.78981763,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.3421052631578947,0.6388888888888888,0.4615384615384615,A010,3
A010_4,-0.14796121,0.304145,1.004755,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.5394736842105263,0.6666666666666666,0.9230769230769232,A010,4
A011_1,0.5500402,0.73472494,0.927548,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.7368421052631579,0.7638888888888888,0.8846153846153846,A011,1
A011_2,0.75908333,-0.6467364,-0.1538848,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.8421052631578947,0.6388888888888888,0.6153846153846154,A011,2
A011_3,-0.6526953,0.063042305,-0.42125666,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.5526315789473685,0.6111111111111112,0.5961538461538461,A011,3
A011_4,-0.6465008,-0.5131098,-0.32422063,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.5526315789473685,0.5555555555555556,0.3846153846153846,A011,4
A012_1,0.48022103,0.5804523,0.6927246,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.631578947368421,0.8611111111111112,0.8461538461538461,A012,1
A012_2,-0.25840938,-0.22893,0.033447273,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.4736842105263157,0.6388888888888888,0.4615384615384615,A012,2
A012_3,0.65839624,-0.01893545,1.1025593,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.6973684210526315,0.5555555555555556,0.8461538461538461,A012,3
A012_4,0.055890147,-1.0322822,-1.1840969,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.6052631578947368,0.5277777777777778,0.3461538461538461,A012,4
A013_1,-1.0432792,0.5701073,-0.16505142,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.3421052631578947,0.8472222222222222,0.5769230769230769,A013,1
A013_2,-0.48492253,-1.0367917,-0.6667165,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.6973684210526315,0.4166666666666667,0.5384615384615384,A013,2
A013_3,0.6412586,1.4323087,1.194037,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.618421052631579,0.8611111111111112,0.8076923076923077,A013,3
A013_4,-1.0111758,-1.1159241,-1.192921,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.5,0.625,0.3846153846153846,A013,4
A014_1,0.1288651,0.53654695,0.27505073,0.1962873223365104,0.2061241640685505,0.2365098342133737,0.5,0.8611111111111112,0.5576923076923077,A014,1
