model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight
Recip+Log,2545.567793289614,2611.7387921547033,-1259.783896644807,12,True,0.0,0.7368259471838903,0.7368259471838903
PowerLaw_Alpha03,2550.3850064992475,2601.2857748570086,-1265.1925032496238,9,True,4.817213209633337,0.06627051620898444,0.8030964633928748
CubeRoot,2550.571327711332,2601.472096069093,-1265.285663855666,9,True,5.003534421717632,0.060375566171457014,0.8634720295643318
PowerLaw_Alpha05,2551.013203011762,2601.913971369523,-1265.506601505881,9,True,5.445409722147815,0.048407116560837855,0.9118791461251696
PowerLaw_LogLog,2551.277686527197,2602.1784548849582,-1265.6388432635986,9,True,5.709893237582946,0.04241088629728664,0.9542900324224562
Log,2553.0697454871643,2603.9705138449253,-1266.5348727435821,9,True,7.501952197550054,0.01731157930498013,0.9716016117274364
PowerLaw_Alpha07,2553.296312944425,2604.1970813021862,-1266.6481564722126,9,True,7.7285196548109525,0.015457462137094716,0.9870590738645312
SquareRoot,2554.2356721134,2605.136440471161,-1267.1178360567,9,True,8.66787882378594,0.00966404491144942,0.9967231187759806
PowerLaw_Combined,2557.97941061693,2624.1504094820193,-1265.989705308465,12,True,12.41161732731598,0.0014866764182608894,0.9982097951942415
SquareRoot+Log,2558.9540058436633,2625.1250047087524,-1266.4770029218316,12,True,13.386212554049052,0.0009132418142580936,0.9991230370084996
Reciprocal,2559.068152841588,2609.968921199349,-1269.534076420794,9,True,13.500359551973816,0.0008625794006248756,0.9999856164091244
Lin+Log,2569.0761761156627,2635.247174980752,-1271.5380880578314,12,True,23.508382826048546,5.78874529672179e-06,0.9999914051544212
Exp+Log,2569.0761761156627,2635.247174980752,-1271.5380880578314,12,True,23.508382826048546,5.78874529672179e-06,0.999997193899718
Quadratic,2571.041672764337,2637.212671629426,-1272.5208363821685,12,True,25.473879474722708,2.1666176003601517e-06,0.9999993605173183
Quad+Log,2573.4830132062125,2654.92424257863,-1270.7415066031062,15,True,27.91521991659829,6.392223120372382e-07,0.9999999997396304
Linear,2590.4811181233217,2641.381886481083,-1285.2405590616609,9,True,44.91332483370752,1.3018481835260374e-10,0.9999999998698152
Exponential,2590.4811181233217,2641.381886481083,-1285.2405590616609,9,True,44.91332483370752,1.3018481835260374e-10,1.0
