comparison,beta,se,z,p_uncorrected,alpha_corrected,p_corrected,sig_uncorrected,sig_corrected
congruent-common,0.018622729293099216,0.02725438821336127,0.6832928755292902,0.49442179517213325,0.016666666666666666,1.0,False,False
incongruent-common,-0.020698045279453087,0.02725438821336128,-0.7594389981319049,0.4475899923108464,0.016666666666666666,1.0,False,False
congruent-incongruent,0.0393207745725523,0.027254388213361375,1.4427318736611896,0.14909601678729634,0.016666666666666666,0.447288050361889,False,False
