model_name,AIC,BIC,delta_AIC,AIC_weight
Log,2652.5656011041974,2703.4663694619585,0.0,0.9999826953039951
Lin+Log,2674.4950378428257,2740.666036707915,21.929436738628283,1.7301183054251057e-05
Quadratic,2691.5519979209676,2757.7229967860567,38.98639681677014,3.4214010253237814e-09
Linear,2698.79384755512,2749.694615912881,46.2282464509226,9.15495710435712e-11
Quad+Log,2746.1949742811976,2827.636203653615,93.62937317700016,4.6626458199125405e-21
