source,TSVR_hours,theta,CI_lower,CI_upper,Segment
Observed,1.0,0.6606513171499999,0.48798387369657914,0.8333187606034207,
Observed,26.37,0.10534006147,-0.060492117869693024,0.27117224080969304,
Observed,74.53,-0.24143969939999999,-0.40032158512337146,-0.08255781367662854,
Observed,147.13,-0.49983265062599996,-0.6613775016678825,-0.3382877995841175,
Quadratic,0.0,0.6123920508832907,0.4554821050456459,0.7693019967209356,
Quadratic,24.0,0.2668406442024916,0.0905833232176112,0.443097965187372,
Quadratic,48.0,-0.0161395401470588,-0.2440501703697953,0.2117710900756775,
Quadratic,72.0,-0.2365485021653606,-0.5396445186805375,0.0665475143498162,
Quadratic,96.0,-0.394386241852414,-0.7925480709447679,0.0037755872399398,
Quadratic,120.0,-0.4896527592082185,-1.002207465792155,0.0229019473757178,
Quadratic,144.0,-0.5223480542327744,-1.169074838413595,0.1243787299480461,
Quadratic,168.0,-0.492472126926082,-1.2937773716139265,0.3088331177617623,
Quadratic,192.0,-0.4000249772881409,-1.3768675433972102,0.5768175888209284,
Quadratic,216.0,-0.2450066053189507,-1.4187751442048735,0.928761933566972,
Quadratic,240.0,-0.0274170110185123,-1.4198194445002752,1.3649854224632505,
Piecewise,0.0,0.6563004811091108,-0.4664284975718912,1.7790294597901126,Early
Piecewise,6.0,0.5481634546217153,-0.5745655240592866,1.6708924333027173,Early
Piecewise,12.0,0.4400264281343198,-0.6827025505466822,1.5627554068153218,Early
Piecewise,18.0,0.3318894016469244,-0.7908395770340776,1.4546183803279265,Early
Piecewise,24.0,0.2237523751595289,-0.898976603521473,1.346481353840531,Early
Piecewise,30.0,0.1156153486721335,-1.0071136300088686,1.2383443273531354,Early
Piecewise,36.0,0.0074783221847379,-1.115250656496264,1.1302073008657398,Early
Piecewise,42.0,-0.1006587043026574,-1.2233876829836594,1.0220702743783443,Early
Piecewise,48.0,-0.2087957307900528,-1.3315247094710547,0.9139332478909492,Early
Piecewise,48.0,-0.2047484001181123,-1.3274773787991143,0.9179805785628896,Late
Piecewise,72.0,-0.2737180392392696,-1.3964470179202717,0.8490109394417323,Late
Piecewise,96.0,-0.3426876783604269,-1.4654166570414289,0.7800413003205751,Late
Piecewise,120.0,-0.4116573174815842,-1.534386296162586,0.7110716611994178,Late
Piecewise,144.0,-0.4806269566027414,-1.6033559352837434,0.6421020220782605,Late
Piecewise,168.0,-0.5495965957238987,-1.6723255744049008,0.5731323829571032,Late
Piecewise,192.0,-0.618566234845056,-1.741295213526058,0.504162743835946,Late
Piecewise,216.0,-0.6875358739662133,-1.8102648526472152,0.4351931047147886,Late
Piecewise,240.0,-0.7565055130873706,-1.8792344917683723,0.3662234655936314,Late
