item_name,discrimination,difficulty,domain,retrieval_condition,schema,purified,exclusion_reason
TQ_ICR-N-i1,1.665,-1.738,what,cued_recall,common,retained,
TQ_ICR-N-i2,0.62,-2.596,what,cued_recall,common,retained,
TQ_ICR-N-i3,0.872,-3.371,what,cued_recall,congruent,removed,|b| > 3.0 on what (b=-3.37)
TQ_ICR-N-i4,1.184,-2.369,what,cued_recall,congruent,retained,
TQ_ICR-N-i5,1.181,-2.02,what,cued_recall,incongruent,retained,
TQ_ICR-N-i6,1.0,-2.322,what,cued_recall,incongruent,retained,
TQ_IFR-N-i1,1.009,-0.385,what,free_recall,common,retained,
TQ_IFR-N-i2,0.652,-0.163,what,free_recall,common,retained,
TQ_IFR-N-i3,0.591,-0.602,what,free_recall,congruent,retained,
TQ_IFR-N-i4,0.503,-0.78,what,free_recall,congruent,retained,
TQ_IFR-N-i5,0.932,0.6,what,free_recall,incongruent,retained,
TQ_IFR-N-i6,0.875,0.503,what,free_recall,incongruent,retained,
TQ_IRE-N-i1,1.667,-2.464,what,recognition,common,retained,
TQ_IRE-N-i2,0.448,-5.953,what,recognition,common,removed,|b| > 3.0 on what (b=-5.95)
TQ_IRE-N-i3,0.505,-4.243,what,recognition,congruent,removed,|b| > 3.0 on what (b=-4.24)
TQ_IRE-N-i4,0.651,-3.185,what,recognition,congruent,removed,|b| > 3.0 on what (b=-3.18)
TQ_IRE-N-i5,0.417,-5.333,what,recognition,incongruent,removed,|b| > 3.0 on what (b=-5.33)
TQ_IRE-N-i6,0.797,-3.68,what,recognition,incongruent,removed,|b| > 3.0 on what (b=-3.68)
TQ_RFR-N-LAND,0.807,-0.194,what,free_recall,,retained,
TQ_RFR-N-OBJ1,0.999,-4.483,what,free_recall,,removed,|b| > 3.0 on what (b=-4.48)
TQ_RFR-N-OBJ2,0.987,-3.045,what,free_recall,,removed,|b| > 3.0 on what (b=-3.05)
TQ_RFR-N-OBJ3,0.902,-2.297,what,free_recall,,retained,
TQ_RFR-N-OBJ4,1.042,-2.625,what,free_recall,,retained,
TQ_RFR-N-PORT,1.461,-0.869,what,free_recall,,retained,
TQ_RFR-N-STRA,0.746,-1.428,what,free_recall,,retained,
TQ_RFR-N-WEAT,0.344,-0.948,what,free_recall,,removed,a < 0.4 on what
TQ_RRE-N-LAND,0.963,-0.777,what,recognition,,retained,
TQ_RRE-N-PORT,2.009,-1.106,what,recognition,,retained,
TQ_RRE-N-STRA,0.267,-5.467,what,recognition,,removed,a < 0.4 on what
TQ_ICR-O-i1,2.183,0.974,when,cued_recall,common,retained,
TQ_ICR-O-i3,0.128,4.394,when,cued_recall,congruent,removed,a < 0.4 on when
TQ_ICR-O-i4,0.377,2.625,when,cued_recall,congruent,removed,a < 0.4 on when
TQ_ICR-O-i5,0.295,3.102,when,cued_recall,incongruent,removed,a < 0.4 on when
TQ_ICR-O-i6,0.575,2.071,when,cued_recall,incongruent,retained,
TQ_IFR-O-i1,0.823,1.276,when,free_recall,common,retained,
TQ_IFR-O-i2,0.375,2.875,when,free_recall,common,removed,a < 0.4 on when
TQ_IFR-O-i3,0.221,1.929,when,free_recall,congruent,removed,a < 0.4 on when
TQ_IFR-O-i4,0.296,2.328,when,free_recall,congruent,removed,a < 0.4 on when
TQ_IFR-O-i5,0.147,3.695,when,free_recall,incongruent,removed,a < 0.4 on when
TQ_IFR-O-i6,0.257,3.51,when,free_recall,incongruent,removed,a < 0.4 on when
TQ_IRE-O-i1,3.683,0.749,when,recognition,common,retained,
TQ_IRE-O-i2,0.362,5.264,when,recognition,common,removed,a < 0.4 on when
TQ_IRE-O-i3,0.096,5.571,when,recognition,congruent,removed,a < 0.4 on when
TQ_IRE-O-i4,0.334,3.13,when,recognition,congruent,removed,a < 0.4 on when
TQ_IRE-O-i5,0.083,11.646,when,recognition,incongruent,removed,a < 0.4 on when
TQ_IRE-O-i6,0.985,1.821,when,recognition,incongruent,retained,
TQ_RFR-O-RORD,0.338,-3.471,when,free_recall,,removed,a < 0.4 on when
TQ_RFR-O-TMOD,0.254,-0.907,when,free_recall,,removed,a < 0.4 on when
TQ_TCR-O-TSK1,0.073,16.477,when,cued_recall,,removed,a < 0.4 on when
TQ_TCR-O-TSK2,0.386,2.051,when,cued_recall,,removed,a < 0.4 on when
TQ_TCR-O-TSK3,0.148,8.603,when,cued_recall,,removed,a < 0.4 on when
TQ_TCR-O-TSK4,0.246,5.388,when,cued_recall,,removed,a < 0.4 on when
TQ_TCR-O-TSK5,0.366,3.908,when,cued_recall,,removed,a < 0.4 on when
TQ_TCR-O-TSK6,0.183,-20.79,when,cued_recall,,removed,a < 0.4 on when
TQ_ICR-D-i1,0.399,1.117,where,cued_recall,common,retained,
TQ_ICR-D-i2,0.645,1.442,where,cued_recall,common,retained,
TQ_ICR-D-i3,0.635,0.83,where,cued_recall,congruent,retained,
TQ_ICR-D-i4,0.667,1.481,where,cued_recall,congruent,retained,
TQ_ICR-D-i5,0.408,3.077,where,cued_recall,incongruent,retained,
TQ_ICR-D-i6,0.971,1.091,where,cued_recall,incongruent,retained,
TQ_ICR-U-i1,1.435,-0.274,where,cued_recall,common,retained,
TQ_ICR-U-i2,0.885,-1.002,where,cued_recall,common,retained,
TQ_ICR-U-i3,1.177,-0.668,where,cued_recall,congruent,retained,
TQ_ICR-U-i4,0.776,-0.725,where,cued_recall,congruent,retained,
TQ_ICR-U-i5,1.467,-0.107,where,cued_recall,incongruent,retained,
TQ_ICR-U-i6,0.97,-0.536,where,cued_recall,incongruent,retained,
TQ_IFR-D-i1,0.374,1.727,where,free_recall,common,removed,a < 0.4 on where
TQ_IFR-D-i2,0.478,1.925,where,free_recall,common,retained,
TQ_IFR-D-i3,0.466,1.257,where,free_recall,congruent,retained,
TQ_IFR-D-i4,0.293,2.569,where,free_recall,congruent,removed,a < 0.4 on where
TQ_IFR-D-i5,0.213,3.218,where,free_recall,incongruent,removed,a < 0.4 on where
TQ_IFR-D-i6,0.238,4.602,where,free_recall,incongruent,removed,a < 0.4 on where
TQ_IFR-U-i1,1.06,-0.033,where,free_recall,common,retained,
TQ_IFR-U-i2,0.71,-0.23,where,free_recall,common,retained,
TQ_IFR-U-i3,0.683,-0.124,where,free_recall,congruent,retained,
TQ_IFR-U-i4,0.494,-0.142,where,free_recall,congruent,retained,
TQ_IFR-U-i5,0.795,0.365,where,free_recall,incongruent,retained,
TQ_IFR-U-i6,0.53,0.35,where,free_recall,incongruent,retained,
TQ_IRE-D-i1,0.487,1.046,where,recognition,common,retained,
TQ_IRE-D-i2,0.526,1.395,where,recognition,common,retained,
TQ_IRE-D-i3,0.717,0.492,where,recognition,congruent,retained,
TQ_IRE-D-i4,0.625,1.606,where,recognition,congruent,retained,
TQ_IRE-D-i5,0.388,1.851,where,recognition,incongruent,removed,a < 0.4 on where
TQ_IRE-D-i6,0.898,1.018,where,recognition,incongruent,retained,
TQ_IRE-U-i1,1.161,-0.488,where,recognition,common,retained,
TQ_IRE-U-i2,0.726,-1.672,where,recognition,common,retained,
TQ_IRE-U-i3,1.298,-0.663,where,recognition,congruent,retained,
TQ_IRE-U-i4,0.809,-0.701,where,recognition,congruent,retained,
TQ_IRE-U-i5,1.251,-0.284,where,recognition,incongruent,retained,
TQ_IRE-U-i6,0.744,-0.927,where,recognition,incongruent,retained,
TQ_RFR-L-DOOR,0.537,0.387,where,free_recall,,retained,
TQ_RFR-L-LAND,0.474,-0.147,where,free_recall,,retained,
TQ_RFR-L-OBJ1,1.0,-2.244,where,free_recall,,retained,
TQ_RFR-L-OBJ2,1.068,-2.004,where,free_recall,,retained,
TQ_RFR-L-OBJ3,1.093,-1.559,where,free_recall,,retained,
TQ_RFR-L-OBJ4,0.849,-2.044,where,free_recall,,retained,
TQ_RFR-L-PORT,0.93,-1.174,where,free_recall,,retained,
TQ_RFR-L-STRA,1.177,-0.835,where,free_recall,,retained,
TQ_RFR-L-WIND,0.389,1.686,where,free_recall,,retained,
TQ_RRE-L-DOOR,0.433,1.824,where,recognition,,retained,
TQ_RRE-L-LAND,0.901,0.74,where,recognition,,retained,
TQ_RRE-L-PORT,1.2,-0.512,where,recognition,,retained,
TQ_RRE-L-STRA,1.812,-1.696,where,recognition,,retained,
TQ_RRE-L-WIND,0.666,1.772,where,recognition,,retained,
