UID,Total_Intercept_Cued_z,Total_Intercept_Free_z,Total_Intercept_Recognition_z,Total_Slope_Cued_z,Total_Slope_Free_z,Total_Slope_Recognition_z
A010,1.0344977676905933,1.1988550151554493,1.240997718045868,-1.0345689301181586,-1.5050034245075434,-1.5178349508618079
A011,-0.19076598927907065,0.40178374926723165,0.13622627356287526,0.19077193588796634,-0.6044812115896203,0.022052042760821382
A012,0.027569255168633695,0.30543753155798276,0.19455406842115358,-0.027577419442191296,-0.12528377511038458,-0.252747813682212
A013,-0.5942319589986828,-0.9287931805279575,-0.57765569303535,0.5942638547937881,1.2731100853722697,1.1572229755792476
A014,0.1811104791476691,0.2453374409228128,0.5457290960492668,-0.18112358509006668,0.4687023324181342,-0.5958175583975607
A015,1.8863406220208148,1.8918852905467674,1.9215834029284782,-1.8863478945708425,-0.14398184962634908,-0.45250579206929464
A016,0.532981689028221,1.3157854999799434,1.0642570476898459,-0.5330388411859639,-1.755770186424209,-1.8964243418406748
A017,0.3848438717001767,0.22616716826546385,0.47247266674612803,-0.3847070083237951,1.8340414709356756,1.6044182405276362
A018,0.6159799757689949,0.2809317696194462,0.22373445889520482,-0.6159953379629798,-0.38083251798188067,0.023537946164972783
A019,-1.0375229666134473,-1.3020926101256554,-1.3892755838129422,1.037569698867051,0.6481826617496194,1.105011291015057
A020,-1.198295671920336,-0.9599666167075183,-0.9016637228090796,1.1982694609114621,-0.940333794757056,-0.6168932298731771
A021,0.6606478443223723,0.956241264660978,0.7378943343328668,-0.660625809756174,0.3270685905394028,0.01740484010923879
A022,0.693353804783212,0.23783826308351583,0.36177424560187116,-0.6932675835954416,1.4433244893001678,1.662621187612182
A023,0.5785786455411018,-0.040681070720867164,-0.016213171776280934,-0.5785548111642121,0.44858328895245686,0.7039055230861965
A024,-0.6690774939011763,-0.11530406706170768,-0.13994658466329585,0.6690840674808397,-0.0874142820036935,-0.17348771303407118
A025,0.8800220848000441,1.0398927045419257,0.5801854555314598,-0.8800952922859892,-1.380494568645408,-0.9949912483072326
A026,0.5857978187199598,0.3805912767340279,0.3209052227101972,-0.5858055720328728,0.5500950608864168,0.5007393910306467
A027,-0.17309794725053967,-0.378739216223363,0.14650858563901348,0.17308348836155366,0.09369902759033766,-0.00790946705285272
A028,0.7294738944799254,0.788965114986595,0.2582877362758347,-0.7295567578652975,-1.6019650085802648,-1.3604797757661746
A029,1.5176741981065198,1.83805833163352,1.8104418454708309,-1.517686773504249,-0.5090160548198902,-1.0505338152705748
A030,0.7793571203016377,0.28479179359408874,0.7256721164037017,-0.7792894019973547,1.5355653594674834,1.4121690447749216
A031,0.07310038635166545,0.6356543012164563,0.7534655777063703,-0.07317277748702253,-2.0209710877322102,-2.4296340093863478
