K,inertia,BIC
1,593.9999999999999,205.8019344533839
2,320.60267044339054,171.76528059889915
3,215.57092949545884,159.70504420692112
4,163.44830474546885,159.65674200644673
5,132.16202138931928,166.04094744800722
6,113.43203078657507,178.3894890812806
