component,variance_explained,cumulative_variance
PC1,0.6751878642981892,0.6751878642981892
PC2,0.3023299585725003,0.9775178228706896
PC3,0.011835800552991077,0.9893536234236806
PC4,0.00865473735974204,0.9980083607834227
PC5,0.001991639191079489,0.9999999999745022
PC6,2.549803254752612e-11,1.0000000000000002
