domain,r_squared,adj_r_squared,f_statistic,f_pvalue,effect_size,n,r2_ci_lower,r2_ci_upper,adj_r2_ci_lower,adj_r2_ci_upper
What,0.3098233484674321,0.2731118244497423,8.439403069132759,1.2567659859612174e-06,large,100,0.20409906774013345,0.5078259166508016,0.161763911768864,0.4816464441322273
Where,0.2789117453883142,0.2405559871642884,7.271704648863007,8.508022193200283e-06,large,100,0.16763440535007398,0.47274705035669057,0.12335963967720565,0.4447016806948125
When,0.0906650886561589,0.0422962103931887,1.874450926135481,0.1061295038502095,medium,100,0.04618223806354515,0.26029358737831415,-0.004552749273500204,0.220947501600565
