UID,theta_mean,domain,theta_se
A010,0.7559712975,What,0.4595310607329531
A011,0.197499705,What,0.41814377062288377
A012,0.28557254750000005,What,0.4188908454698353
A013,-0.0996692035,What,0.2117057181703623
A014,0.74598967,What,0.5372204935215513
A015,1.47161414,What,0.3309341944978376
A016,-0.09337775749999999,What,0.4676269773601231
A017,0.3815285075,What,0.3162994978590896
A018,-0.195357355,What,0.28122700900956926
A019,-0.8542806195000001,What,0.2879219097676544
A020,-0.8206314575,What,0.4988264257371232
A021,0.7504667199999999,What,0.16616307676803554
A022,0.007409930000000002,What,0.12497786823658527
A023,0.09103290249999998,What,0.23701479087088628
A024,-0.03312249874999999,What,0.162497556600914
A025,0.189649375,What,0.7056695271085613
A026,0.2961444006625,What,0.21011744416311245
A027,-0.12884181,What,0.42609048978750247
A028,0.22139514999999999,What,0.4273099252972052
A029,0.9213593250000001,What,0.3274447277632984
A030,0.24558417847500003,What,0.23290424635424284
A031,0.37680075249999995,What,0.5877301029909379
A032,0.758142725,What,0.3058882956790501
A033,0.37015001,What,0.2040839362890232
A034,0.48516567,What,0.40566051987448865
A035,-0.10476066425,What,0.3692788712921956
A036,0.017222680500000004,What,0.3440658246984757
A037,0.585846746,What,0.36297741724419147
A038,0.4923451795,What,0.2848194953254835
A039,1.0299392925,What,0.42602463552661624
A040,-0.899793683,What,0.44021654205509964
A041,0.08053174874999999,What,0.4564315055405947
A042,-0.576955077,What,0.24851789877593752
A043,0.39494527975,What,0.16537280646891508
A044,-0.7715998625,What,0.303574983099999
A045,-0.9667633274999999,What,0.18710771754620587
A046,-1.11812449,What,0.22162232169308016
A047,-0.9367785799999999,What,0.2761008489444549
A048,0.312800065,What,0.3330739725228588
A049,0.40594605250000004,What,0.5642635000378952
A050,-0.8558748749999999,What,0.1531968926328543
A051,-0.1630602875,What,0.4771065455980324
A052,0.2576208125,What,0.31721203202506654
A053,0.368248605,What,0.3388536557667457
A054,0.8947861675,What,0.14786631434096215
A055,0.14997135325,What,0.20835388285024317
A056,-0.08393786499999997,What,0.36822337354048573
A057,-0.3067310125,What,0.2606448998256776
A058,-0.2719533075,What,0.39839800562168926
A059,1.0114442625,What,0.2481947076886137
A060,0.34874225875,What,0.30617542956320926
A061,0.8467748125,What,0.6297041120196831
A062,0.078300275,What,0.47661463063643533
A063,0.2605916275,What,0.3033481327176039
A064,0.503797009,What,0.23180507443393472
A065,-1.94928755,What,0.27349489888956946
A066,-0.44128004499999995,What,0.4041663562443293
A067,-0.7244210325,What,0.5409551129035589
A068,0.394560105,What,0.41710754244272397
A069,-0.8791684799999999,What,0.3062958089817295
A070,-0.06834133,What,0.2631429076160385
A071,0.0700237725,What,0.4397554365910999
A072,-0.09781446499999999,What,0.4472571179980306
A073,0.122970805,What,0.39253120757426424
A074,-0.5581603375,What,0.5089996441801111
A075,-0.3986804465,What,0.3472855804371641
A076,-1.18215652,What,0.4478555680492883
A077,0.498825286,What,0.30848665765873295
A078,-0.32265749850000003,What,0.2233940510162768
A079,-0.5118734475,What,0.2371135747193489
A080,0.10170053000000001,What,0.31454583404004766
A081,0.231875545,What,0.3088656464744146
A082,0.52830120875,What,0.21309433355420013
A083,0.4622176,What,0.47383383906397686
A084,-0.2665534975,What,0.27632279962505246
A085,0.22755188250000002,What,0.44908873851250586
A086,-0.4872433975,What,0.3944423186078409
A087,0.5968231325,What,0.29339569773324153
A088,1.3717229775000002,What,0.4365709961550802
A089,0.6689538675000001,What,0.3093411511824668
A090,-0.836708325,What,0.5139877929566006
A091,-0.2245167425,What,0.3529663356532607
A092,-0.7566670525,What,0.2892763414706882
A093,0.5506377825,What,0.12822578825822653
A094,-0.7701877375,What,0.3239412687118694
A095,0.0709018625,What,0.49922653060907496
A096,-1.488379525,What,0.31402740508725874
A097,0.136843735,What,0.210591881209894
A098,0.47438697500000004,What,0.3270492755665022
A099,0.29579097125,What,0.3933172213852847
A100,0.356873705,What,0.19711655951255552
A101,-1.2126279850000001,What,0.10460908969508445
A102,0.028971365749999985,What,0.2787406700414123
A103,-0.45776419999999995,What,0.7207712619699054
A104,0.08541996999999996,What,0.7585481091729667
A105,0.25559625825,What,0.17471068146295657
A106,0.8144010749999999,What,0.31952922303481524
A107,-1.101252275,What,0.21877172730871164
A108,-0.9493911899999999,What,0.16535876845308534
A109,-0.6921477,What,0.25013499594993616
A010,0.85377241625,Where,0.5505515225114713
A011,0.04574041000000001,Where,0.36865954320218575
A012,0.4314021725,Where,0.4773007265413599
A013,-0.18978555,Where,0.21525211453292303
A014,0.53824988,Where,0.501396624766905
A015,1.5632131,Where,0.24872449267876356
A016,0.25077893999999995,Where,0.5093960168143752
A017,0.2724456705,Where,0.23726027961662333
A018,-0.09241068174999999,Where,0.20489152680778122
A019,-1.3043172,Where,0.23901697325977014
A020,-0.823898624,Where,0.47231942534504323
A021,0.7666108625,Where,0.16932333635465402
A022,0.14046774425,Where,0.12038315999099673
A023,0.12020581125,Where,0.2564061251936186
A024,-0.010031755000000003,Where,0.2743001951506549
A025,0.5341741855,Where,0.5844149731692041
A026,0.43731309999999995,Where,0.3215704970979727
A027,-0.0182978325,Where,0.38246734856958603
