comparison,r2_1,r2_2,r2_difference,direction
What vs Where,0.3098233484674321,0.2789117453883142,0.03091160307911789,What > Where
What vs When,0.3098233484674321,0.0906650886561589,0.21915825981127318,What > When
Where vs When,0.2789117453883142,0.0906650886561589,0.1882466567321553,Where > When
