domain,n,r_squared,adj_r_squared,f_statistic,f_pvalue,aic,bic,durbin_watson,max_cooks_d,n_influential,shapiro_w,shapiro_p,normality_violated,breusch_pagan_stat,breusch_pagan_p,heteroscedasticity_violated
What,100,0.3098233484674321,0.27311182444974236,8.439403069132759,1.2567659859612174e-06,167.78150966743664,183.41253078336518,1.7568699521511804,0.19551572064575667,11,0.9867403516222137,0.42040339934965504,False,7.35509548365052,0.1955422495315524,False
Where,100,0.2789117453883142,0.2405559871642884,7.271704648863007,8.508022193200283e-06,182.2806589489569,197.91168006488545,1.5792055048765068,0.11746170756137371,8,0.986221611048483,0.38744151565041485,False,4.706898708246032,0.4526868786250794,False
When,100,0.09066508865615897,0.04229621039318876,1.874450926135481,0.1061295038502095,32.4554018388379,48.08642295476645,2.0426421037684945,0.15305968892419305,9,0.9924023488252908,0.8495533620909081,False,1.5561473026597494,0.9065008979377538,False
