comparison,bootstrap_mean_diff,bootstrap_ci_lower,bootstrap_ci_upper
RAVLT: What vs Where,0.06727755336200394,0.023660341506146997,0.11614241891082192
BVMT: Where vs What,-0.02586176918204701,-0.07466358596607525,0.01959418356526872
RAVLT_Pct_Ret: What vs Where,-0.0014053142340274677,-0.051831602792552445,0.045482652062729875
BVMT_Pct_Ret: Where vs What,-0.04878637127627843,-0.09307065425114774,-0.006233081868476038
RPM: What vs Where,-0.004410812083853198,-0.049044430623289746,0.039497021472104016
