domain,n,theta_mean,theta_sd,theta_min,theta_max,theta_q25,theta_q50,theta_q75
What,100,-0.007222128663625008,0.6378819984068272,-1.94928755,1.47161414,-0.44540108375,0.08822643624999997,0.3946563986875
Where,100,0.03678954643675,0.6709818450997134,-1.8336711499999998,1.5913601675,-0.416387400625,0.136690632125,0.45569624062499997
When,100,0.10869476563824998,0.28248906152410874,-0.55679205,0.718996055,-0.05937293312500001,0.10227591750000004,0.27648804125000004
