comparison,p_uncorrected,p_bonferroni,p_fdr
RAVLT: What vs Where,0.9178070643244085,1.0,0.9998712966412893
BVMT: Where vs What,0.9677341206500036,1.0,0.9998712966412893
RPM: consistency test,0.9941663399895149,1.0,0.9998712966412893
RAVLT_Pct_Ret: What vs Where,0.9998712966412893,1.0,0.9998712966412893
BVMT_Pct_Ret: Where vs What,0.9431048558441546,1.0,0.9998712966412893
