segment,domain,slope,se,CI_lower,CI_upper
Early,what,-0.4563911870025763,0.05932480580834207,-0.5726678063869267,-0.34011456761822584
Early,where,-0.43313735040359097,0.05932480580834208,-0.5494139697879414,-0.3168607310192405
Late,what,-0.07100525229948401,0.02527416565083717,-0.12054261697512486,-0.021467887623843163
Late,where,-0.0848170845681269,0.025274165650837153,-0.13435444924376772,-0.03527971989248607
