domain,early_slope,late_slope,consolidation_benefit,benefit_se,benefit_CI_lower,benefit_CI_upper,rank
where,-0.4331373504035909,-0.0848170845681269,-0.34832026583546405,0.06448423089053201,-0.4747093583809068,-0.2219311732900213,1
what,-0.4563911870025763,-0.071005252299484,-0.3853859347030923,0.06448423089053201,-0.5117750272485351,-0.2589968421576495,2
