composite_ID,domain_name,theta
A010_1,free_recall,2.2559497
A010_2,free_recall,0.063646406
A010_3,free_recall,-0.63363457
A010_4,free_recall,0.530237
A011_1,free_recall,1.0253187
A011_2,free_recall,0.29738232
A011_3,free_recall,0.05539917
A011_4,free_recall,-0.5692055
A012_1,free_recall,1.1145911
A012_2,free_recall,-0.40524608
A012_3,free_recall,0.7902062
A012_4,free_recall,-0.7995365
A013_1,free_recall,-0.5856965
A013_2,free_recall,-0.4070654
A013_3,free_recall,0.7922385
A013_4,free_recall,-1.0692434
A014_1,free_recall,0.18263546
A014_2,free_recall,1.2276359
A014_3,free_recall,0.35754204
A014_4,free_recall,-0.58439595
A015_1,free_recall,1.5247837
A015_2,free_recall,1.7857077
A015_3,free_recall,1.7846233
A015_4,free_recall,-0.09274579
A016_1,free_recall,1.8982425
A016_2,free_recall,1.1705568
A016_3,free_recall,-0.06720384
A016_4,free_recall,-0.7857009
A017_1,free_recall,-0.07584843
A017_2,free_recall,1.0087
A017_3,free_recall,0.22324428
A017_4,free_recall,1.0260882
A018_1,free_recall,0.8998065
A018_2,free_recall,0.46910602
A018_3,free_recall,-0.8570981
A018_4,free_recall,0.042763263
A019_1,free_recall,-0.457872
A019_2,free_recall,-0.7839532
A019_3,free_recall,-0.731604
A019_4,free_recall,-0.75950915
A020_1,free_recall,0.072841056
A020_2,free_recall,-0.20886408
A020_3,free_recall,-0.7968719
A020_4,free_recall,-2.0479772
A021_1,free_recall,1.2711351
A021_2,free_recall,0.36641207
A021_3,free_recall,0.2283193
A021_4,free_recall,1.0181938
A022_1,free_recall,0.16907588
A022_2,free_recall,0.4875518
A022_3,free_recall,0.77547616
A022_4,free_recall,0.44959623
A023_1,free_recall,0.5031585
A023_2,free_recall,-0.1653372
A023_3,free_recall,0.068792194
A023_4,free_recall,0.025527501
A024_1,free_recall,0.4014854
A024_2,free_recall,0.27175164
A024_3,free_recall,0.0076772394
A024_4,free_recall,-0.91121835
A025_1,free_recall,1.2585467
A025_2,free_recall,1.9095496
A025_3,free_recall,-0.28530517
A025_4,free_recall,-0.96083295
A026_1,free_recall,0.5969401
A026_2,free_recall,0.3370544
A026_3,free_recall,0.7356694
A026_4,free_recall,-0.094755605
A027_1,free_recall,0.16043636
A027_2,free_recall,0.46374553
A027_3,free_recall,-0.9193564
A027_4,free_recall,-0.42966694
A028_1,free_recall,1.7501152
A028_2,free_recall,0.095417134
A028_3,free_recall,0.1234633
A028_4,free_recall,-0.8479047
A029_1,free_recall,2.242445
A029_2,free_recall,0.29875055
A029_3,free_recall,1.3977594
A029_4,free_recall,0.5618795
A030_1,free_recall,0.12693016
A030_2,free_recall,0.890774
A030_3,free_recall,0.30001456
A030_4,free_recall,0.70453537
A031_1,free_recall,1.83632
A031_2,free_recall,-0.20975925
A031_3,free_recall,-0.34666744
A031_4,free_recall,-0.9627389
A032_1,free_recall,0.71397096
A032_2,free_recall,-0.325758
A032_3,free_recall,0.41406077
A032_4,free_recall,1.8328576
A033_1,free_recall,0.10781428
A033_2,free_recall,-0.23640966
A033_3,free_recall,0.96893936
A033_4,free_recall,-0.08949685
A034_1,free_recall,1.6616325
A034_2,free_recall,1.3464628
A034_3,free_recall,0.25853375
A034_4,free_recall,-0.10638464
A035_1,free_recall,-0.65596753
A035_2,free_recall,0.8209889
A035_3,free_recall,-0.50477034
A035_4,free_recall,-0.99131393
A036_1,free_recall,0.8689254
A036_2,free_recall,-0.1759345
A036_3,free_recall,-0.7087776
A036_4,free_recall,-1.176061
A037_1,free_recall,1.0822115
A037_2,free_recall,0.93259835
