UID,test,TSVR_hours,Days,Room,Item,Name,Score,error_type,Conf
A010,1,1.0,0.041666666666666664,bat,1,Book,1,correct,1.0
A010,2,21.9,0.9125,bed,1,Magazine,1,correct,1.0
A010,3,80.88,3.3699999999999997,liv,1,Newspaper,1,correct,1.0
A010,4,145.31,6.054583333333333,kit,1,Letters,1,correct,1.0
A011,1,1.0,0.041666666666666664,bat,1,Book,1,correct,1.0
A011,2,24.57,1.02375,bed,1,Magazine,1,correct,1.0
A011,3,72.55,3.0229166666666667,kit,1,Letters,1,correct,1.0
A011,4,148.85,6.202083333333333,liv,1,Newspaper,1,correct,1.0
A012,1,1.0,0.041666666666666664,bed,1,Magazine,1,correct,1.0
A012,2,25.6,1.0666666666666667,liv,1,Newspaper,1,correct,1.0
A012,3,166.33,6.930416666666667,kit,1,Letters,1,correct,1.0
A012,4,166.87,6.952916666666667,bat,1,Book,1,correct,1.0
A013,1,1.0,0.041666666666666664,liv,1,Newspaper,1,correct,1.0
A013,2,24.77,1.0320833333333332,kit,1,Letters,1,correct,1.0
A013,3,79.66,3.3191666666666664,bat,1,Book,1,correct,1.0
A013,4,147.13,6.130416666666666,bed,1,Magazine,1,correct,1.0
A014,1,1.0,0.041666666666666664,bed,1,Magazine,1,correct,1.0
A014,2,25.66,1.0691666666666666,kit,1,Letters,1,correct,1.0
A014,3,70.56,2.94,bat,1,Book,1,correct,1.0
A014,4,148.87,6.202916666666667,liv,1,Newspaper,1,correct,0.8
A015,1,1.0,0.041666666666666664,kit,1,Letters,1,correct,1.0
A015,2,23.69,0.9870833333333334,bat,1,Book,1,correct,1.0
A015,3,70.59,2.94125,bed,1,Magazine,1,correct,1.0
A015,4,146.54,6.105833333333333,liv,1,Newspaper,1,correct,1.0
A016,1,1.0,0.041666666666666664,bed,1,Magazine,1,correct,1.0
A016,2,32.85,1.3687500000000001,bat,1,Book,1,correct,0.6
A016,3,80.64,3.36,kit,1,Letters,1,correct,1.0
A016,4,150.8,6.283333333333334,liv,1,Newspaper,1,correct,0.8
A017,1,1.0,0.041666666666666664,liv,1,Newspaper,2,perceptual,1.0
A017,2,20.61,0.85875,bat,1,Book,1,correct,1.0
