model_name,AIC,delta_AIC,AIC_weight,converged
Log,2346.596143302675,0.0,0.9999459764296429,True
Lin+Log,2366.8822517118315,20.28610840915644,3.934631518248576e-05,True
Quadratic,2369.4348183620095,22.83867505933449,1.0980478378122573e-05,True
Quad+Log,2371.6121337691256,25.015990466450603,3.6967767809725547e-06,True
Linear,2410.2161882157125,63.62004491303742,1.5312965890777975e-14,True
