days,difference,se,ci_lower,ci_upper,sig
0.000000,-0.051452,0.031737,-0.113657,0.010754,0
0.051558,-0.057681,0.022696,-0.102164,-0.013198,1
0.103116,-0.060708,0.021050,-0.101965,-0.019451,1
0.154673,-0.063252,0.019920,-0.102295,-0.024209,1
0.206231,-0.065487,0.019075,-0.102874,-0.028099,1
0.257789,-0.067487,0.018435,-0.103621,-0.031354,1
0.309347,-0.069298,0.017954,-0.104488,-0.034108,1
0.360905,-0.070949,0.017598,-0.105441,-0.036457,1
0.412462,-0.072462,0.017341,-0.106451,-0.038474,1
0.464020,-0.073857,0.017162,-0.107494,-0.040220,1
0.515578,-0.075146,0.017043,-0.108550,-0.041741,1
0.567136,-0.076341,0.016971,-0.109604,-0.043078,1
0.618693,-0.077453,0.016934,-0.110643,-0.044263,1
0.670251,-0.078490,0.016922,-0.111658,-0.045322,1
0.721809,-0.079459,0.016930,-0.112641,-0.046277,1
0.773367,-0.080366,0.016950,-0.113588,-0.047145,1
0.824925,-0.081218,0.016978,-0.114495,-0.047941,1
0.876482,-0.082018,0.017011,-0.115360,-0.048676,1
0.928040,-0.082771,0.017046,-0.116181,-0.049361,1
0.979598,-0.083481,0.017081,-0.116959,-0.050003,1
1.031156,-0.084152,0.017113,-0.117694,-0.050609,1
1.082714,-0.084785,0.017143,-0.118386,-0.051184,1
1.134271,-0.085385,0.017169,-0.119037,-0.051733,1
1.185829,-0.085953,0.017191,-0.119647,-0.052258,1
1.237387,-0.086491,0.017208,-0.120218,-0.052764,1
1.288945,-0.087002,0.017219,-0.120752,-0.053252,1
1.340503,-0.087488,0.017226,-0.121250,-0.053725,1
1.392060,-0.087949,0.017227,-0.121714,-0.054185,1
1.443618,-0.088389,0.017223,-0.122146,-0.054632,1
1.495176,-0.088807,0.017214,-0.122546,-0.055068,1
1.546734,-0.089205,0.017200,-0.122917,-0.055493,1
1.598291,-0.089585,0.017181,-0.123261,-0.055910,1
1.649849,-0.089948,0.017158,-0.123578,-0.056318,1
1.701407,-0.090294,0.017131,-0.123871,-0.056717,1
1.752965,-0.090624,0.017100,-0.124140,-0.057109,1
1.804523,-0.090940,0.017065,-0.124387,-0.057493,1
1.856080,-0.091242,0.017027,-0.124614,-0.057870,1
1.907638,-0.091530,0.016985,-0.124821,-0.058239,1
1.959196,-0.091806,0.016941,-0.125010,-0.058602,1
2.010754,-0.092070,0.016894,-0.125183,-0.058958,1
2.062312,-0.092323,0.016845,-0.125339,-0.059307,1
2.113869,-0.092565,0.016794,-0.125481,-0.059648,1
2.165427,-0.092796,0.016741,-0.125610,-0.059983,1
2.216985,-0.093018,0.016687,-0.125726,-0.060311,1
2.268543,-0.093231,0.016632,-0.125830,-0.060632,1
2.320101,-0.093435,0.016576,-0.125924,-0.060945,1
2.371658,-0.093630,0.016519,-0.126008,-0.061252,1
2.423216,-0.093817,0.016462,-0.126083,-0.061550,1
2.474774,-0.093996,0.016405,-0.126150,-0.061842,1
2.526332,-0.094167,0.016348,-0.126210,-0.062125,1
2.577889,-0.094332,0.016292,-0.126263,-0.062400,1
2.629447,-0.094489,0.016236,-0.126311,-0.062668,1
2.681005,-0.094640,0.016180,-0.126354,-0.062927,1
2.732563,-0.094785,0.016126,-0.126392,-0.063177,1
2.784121,-0.094923,0.016073,-0.126427,-0.063419,1
2.835678,-0.095056,0.016022,-0.126459,-0.063653,1
2.887236,-0.095183,0.015972,-0.126489,-0.063877,1
2.938794,-0.095304,0.015925,-0.126516,-0.064092,1
2.990352,-0.095420,0.015879,-0.126543,-0.064298,1
3.041910,-0.095532,0.015835,-0.126569,-0.064494,1
3.093467,-0.095638,0.015794,-0.126595,-0.064681,1
3.145025,-0.095739,0.015756,-0.126621,-0.064858,1
3.196583,-0.095836,0.015720,-0.126648,-0.065025,1
3.248141,-0.095929,0.015687,-0.126676,-0.065182,1
3.299698,-0.096017,0.015657,-0.126706,-0.065328,1
3.351256,-0.096101,0.015631,-0.126738,-0.065465,1
3.402814,-0.096181,0.015608,-0.126772,-0.065590,1
3.454372,-0.096257,0.015588,-0.126809,-0.065705,1
3.505930,-0.096330,0.015571,-0.126850,-0.065810,1
3.557487,-0.096398,0.015559,-0.126894,-0.065903,1
3.609045,-0.096464,0.015550,-0.126941,-0.065986,1
3.660603,-0.096525,0.015545,-0.126993,-0.066057,1
3.712161,-0.096584,0.015544,-0.127050,-0.066118,1
3.763719,-0.096639,0.015547,-0.127111,-0.066167,1
3.815276,-0.096691,0.015554,-0.127176,-0.066205,1
3.866834,-0.096740,0.015565,-0.127247,-0.066232,1
3.918392,-0.096786,0.015580,-0.127323,-0.066248,1
3.969950,-0.096829,0.015600,-0.127405,-0.066252,1
4.021508,-0.096869,0.015624,-0.127492,-0.066246,1
4.073065,-0.096906,0.015652,-0.127584,-0.066228,1
4.124623,-0.096941,0.015685,-0.127683,-0.066198,1
4.176181,-0.096973,0.015722,-0.127787,-0.066158,1
4.227739,-0.097002,0.015763,-0.127898,-0.066106,1
4.279296,-0.097029,0.015809,-0.128015,-0.066044,1
4.330854,-0.097054,0.015859,-0.128138,-0.065970,1
4.382412,-0.097076,0.015914,-0.128267,-0.065885,1
4.433970,-0.097096,0.015973,-0.128402,-0.065789,1
4.485528,-0.097113,0.016036,-0.128544,-0.065682,1
4.537085,-0.097129,0.016104,-0.128692,-0.065565,1
4.588643,-0.097142,0.016176,-0.128847,-0.065437,1
4.640201,-0.097153,0.016252,-0.129008,-0.065298,1
4.691759,-0.097162,0.016333,-0.129175,-0.065149,1
4.743317,-0.097169,0.016418,-0.129348,-0.064989,1
4.794874,-0.097174,0.016508,-0.129528,-0.064819,1
4.846432,-0.097177,0.016601,-0.129715,-0.064639,1
4.897990,-0.097178,0.016699,-0.129907,-0.064449,1
4.949548,-0.097177,0.016800,-0.130106,-0.064248,1
5.001106,-0.097175,0.016906,-0.130311,-0.064038,1
5.052663,-0.097170,0.017016,-0.130522,-0.063819,1
5.104221,-0.097164,0.017130,-0.130739,-0.063589,1
5.155779,-0.097156,0.017248,-0.130962,-0.063350,1
5.207337,-0.097147,0.017370,-0.131192,-0.063102,1
5.258894,-0.097136,0.017495,-0.131427,-0.062845,1
5.310452,-0.097123,0.017625,-0.131668,-0.062579,1
5.362010,-0.097109,0.017758,-0.131915,-0.062303,1
5.413568,-0.097093,0.017895,-0.132167,-0.062019,1
5.465126,-0.097076,0.018035,-0.132426,-0.061727,1
5.516683,-0.097057,0.018180,-0.132689,-0.061425,1
5.568241,-0.097037,0.018327,-0.132959,-0.061115,1
5.619799,-0.097016,0.018479,-0.133234,-0.060797,1
5.671357,-0.096993,0.018633,-0.133514,-0.060471,1
5.722915,-0.096968,0.018792,-0.133800,-0.060137,1
5.774472,-0.096943,0.018953,-0.134091,-0.059795,1
5.826030,-0.096916,0.019118,-0.134387,-0.059445,1
5.877588,-0.096887,0.019286,-0.134688,-0.059087,1
5.929146,-0.096858,0.019457,-0.134994,-0.058722,1
5.980704,-0.096827,0.019632,-0.135306,-0.058349,1
6.032261,-0.096795,0.019810,-0.135622,-0.057969,1
6.083819,-0.096762,0.019990,-0.135943,-0.057582,1
6.135377,-0.096728,0.020174,-0.136269,-0.057187,1
6.186935,-0.096693,0.020361,-0.136600,-0.056786,1
6.238492,-0.096657,0.020551,-0.136936,-0.056378,1
6.290050,-0.096619,0.020743,-0.137276,-0.055963,1
6.341608,-0.096581,0.020939,-0.137621,-0.055541,1
6.393166,-0.096541,0.021137,-0.137970,-0.055113,1
6.444724,-0.096501,0.021338,-0.138323,-0.054678,1
6.496281,-0.096459,0.021542,-0.138681,-0.054237,1
6.547839,-0.096417,0.021748,-0.139044,-0.053790,1
6.599397,-0.096374,0.021957,-0.139410,-0.053337,1
6.650955,-0.096330,0.022169,-0.139781,-0.052878,1
6.702513,-0.096284,0.022383,-0.140156,-0.052413,1
6.754070,-0.096238,0.022600,-0.140535,-0.051942,1
6.805628,-0.096192,0.022819,-0.140918,-0.051466,1
6.857186,-0.096144,0.023041,-0.141304,-0.050984,1
6.908744,-0.096096,0.023265,-0.141695,-0.050496,1
6.960302,-0.096046,0.023491,-0.142090,-0.050003,1
7.011859,-0.095997,0.023720,-0.142488,-0.049505,1
7.063417,-0.095946,0.023951,-0.142890,-0.049002,1
7.114975,-0.095895,0.024184,-0.143295,-0.048494,1
7.166533,-0.095842,0.024419,-0.143704,-0.047981,1
7.218090,-0.095790,0.024657,-0.144117,-0.047463,1
7.269648,-0.095736,0.024896,-0.144533,-0.046940,1
