contrast,estimate,SE,z,p_uncorrected,p_bonferroni,cohens_d,interpretation
IRE vs IFR,0.018669537740751627,0.06613941971198632,0.2822754995742453,0.7777322705240539,1.0,0.019959891991176926,not significant
ICR vs IFR,-0.08372903602315401,0.06564708364248716,-1.2754418228102995,0.2021529035134091,0.6064587105402273,-0.09018735619180937,not significant
IRE vs ICR,0.10239857376390564,0.06751029914094124,1.5167844768414986,0.12932110752873593,0.3879633225862078,0.10725285891731134,not significant
