UID,TEST,Paradigm,theta_accuracy,theta_confidence,TSVR_hours,theta_accuracy_z,theta_confidence_z,calibration,abs_calibration
A010,T1,IFR,2.2559497,-0.10090725,1.0,2.383939890879053,1.1161362469022966,-1.2678036439767564,1.2678036439767564
A010,T2,IFR,0.063646406,-0.59867835,21.9,0.019691649615421497,0.28726897912555854,0.267577329510137,0.267577329510137
A010,T3,IFR,-0.63363457,-0.85798013,80.88,-0.7322779002577214,-0.1445093180038746,0.5877685822538469,0.5877685822538469
A010,T4,IFR,0.530237,-0.5768663,145.31,0.5228774972459789,0.32358947721817494,-0.19928802002780394,0.19928802002780394
A011,T1,IFR,1.0253187,0.013049793,1.0,1.0567890421085342,1.3058926688306212,0.24910362672208697,0.24910362672208697
A011,T2,IFR,0.29738232,-0.3668552,24.57,0.27175974854455054,0.6732910301202767,0.40153128157572615,0.40153128157572615
A011,T3,IFR,0.05539917,-0.47526985,72.55,0.010797573115308315,0.4927635653227596,0.4819659922074513,0.4819659922074513
A011,T4,IFR,-0.5692055,-0.99886817,148.85,-0.6627955818893436,-0.3791100908836578,0.2836854910056858,0.2836854910056858
A012,T1,IFR,1.1145911,-0.22546089,1.0,1.1530631823112278,0.9087348222746968,-0.24432836003653102,0.24432836003653102
A012,T2,IFR,-0.40524608,-0.63915443,25.6,-0.48597663013457554,0.21986993197333796,0.7058465621079135,0.7058465621079135
A012,T3,IFR,0.7902062,-0.40780258,166.33,0.8032363899068925,0.6051071942503038,-0.1981291956565887,0.1981291956565887
A012,T4,IFR,-0.7995365,-0.6528868,166.87,-0.9111917153754676,0.1970033734246412,1.1081950888001089,1.1081950888001089
A013,T1,IFR,-0.5856965,-0.6972882,1.0,-0.6805799905764923,0.12306805033444555,0.8036480409109379,0.8036480409109379
A013,T2,IFR,-0.4070654,-0.6062502,24.77,-0.4879386415597592,0.27466065650193644,0.7625992980616956,0.7625992980616956
A013,T3,IFR,0.7922385,-0.7212178,79.66,0.8054280856060552,0.08322149803160951,-0.7222065875744457,0.7222065875744457
A013,T4,IFR,-1.0692434,-1.0883394,147.13,-1.2020520473955985,-0.528093778274758,0.6739582691208404,0.6739582691208404
A014,T1,IFR,0.18263546,-0.3735988,1.0,0.14801315623316563,0.6620618741749451,0.5140487179417794,0.5140487179417794
A014,T2,IFR,1.2276359,-0.17555101,25.66,1.274974220038291,0.9918426320102659,-0.28313158802802507,0.28313158802802507
A014,T3,IFR,0.35754204,-0.57598865,70.56,0.33663786672928403,0.32505090267570813,-0.011586964053575899,0.011586964053575899
A014,T4,IFR,-0.58439595,-0.8750866,148.87,-0.6791774368976329,-0.17299428438742884,0.5061831525102041,0.5061831525102041
A015,T1,IFR,1.5247837,-0.068641454,1.0,1.5954276743883704,1.1698638782837922,-0.4255637961045782,0.4255637961045782
