scenario,r_xx,r_yy,r_xy,r_diff,adequate
"Conservative (0.80, 0.75)",0.8,0.75,0.5554303570815141,0.49389256872571735,False
"Moderate (0.85, 0.80)",0.85,0.8,0.5554303570815141,0.6063608867866689,False
"Best estimate (0.87, 0.83)",0.87,0.83,0.5554303570815141,0.6625950458171448,False
"Optimistic (0.90, 0.85)",0.9,0.85,0.5554303570815141,0.7188292048476207,True
"High (0.92, 0.88)",0.92,0.88,0.5554303570815141,0.7750633638780966,True
