UID,TEST,Paradigm,theta_accuracy,theta_confidence,TSVR_hours,theta_accuracy_z,theta_confidence_z,calibration,abs_calibration,accuracy_centered,z_acc_within,z_conf_within,calibration_within
A010,T1,IFR,2.2559497,-0.10090725,1.0,2.383939890879053,1.1161362469022966,-1.2678036439767564,1.2678036439767564,2.2105628268031667,2.464176112250882,1.1128764401737634,-1.3512996720771187
A010,T2,IFR,0.063646406,-0.59867835,21.9,0.0196916496154214,0.2872689791255585,0.267577329510137,0.267577329510137,0.018259532803166667,0.02363461262752511,0.27251421273450704,0.24887960010698193
A010,T3,IFR,-0.63363457,-0.85798013,80.88,-0.7322779002577214,-0.1445093180038746,0.5877685822538469,0.5877685822538469,-0.6790214431968333,-0.7526006662607972,-0.16525210479530528,0.587348561465492
A010,T4,IFR,0.530237,-0.5768663,145.31,0.5228774972459789,0.3235894772181749,-0.1992880200278039,0.1992880200278039,0.48485012680316664,0.5430580478371757,0.3093384135027244,-0.2337196343344513
A011,T1,IFR,1.0253187,0.013049793,1.0,1.0567890421085342,1.3058926688306212,0.2491036267220869,0.2491036267220869,0.9799318268031666,1.094198685111646,1.305264456448455,0.21106577133680893
A011,T2,IFR,0.29738232,-0.3668552,24.57,0.2717597485445505,0.6732910301202767,0.4015312815757261,0.4015312815757261,0.25199544680316666,0.283836839039632,0.663889723900151,0.38005288486051897
A011,T3,IFR,0.05539917,-0.47526985,72.55,0.0107975731153083,0.4927635653227596,0.4819659922074513,0.4819659922074513,0.010012296803166662,0.014453528162490435,0.4808586544767807,0.46640512631429026
A011,T4,IFR,-0.5692055,-0.99886817,148.85,-0.6627955818893436,-0.3791100908836578,0.2836854910056858,0.2836854910056858,-0.6145923731968334,-0.6808761838192094,-0.40310638583723624,0.2777697979819732
A012,T1,IFR,1.1145911,-0.22546089,1.0,1.1530631823112278,0.9087348222746968,-0.244328360036531,0.244328360036531,1.0692042268031665,1.1935795497790767,0.9025987154403121,-0.29098083433876454
A012,T2,IFR,-0.40524608,-0.63915443,25.6,-0.4859766301345755,0.2198699319733379,0.7058465621079135,0.7058465621079135,-0.45063295319683333,-0.4983513617020668,0.20418045702468468,0.7025318187267515
A012,T3,IFR,0.7902062,-0.40780258,166.33,0.8032363899068925,0.6051071942503038,-0.1981291956565887,0.1981291956565887,0.7448193268031666,0.8324639995411758,0.5947602958063912,-0.23770370373478455
A012,T4,IFR,-0.7995365,-0.6528868,166.87,-0.9111917153754676,0.1970033734246412,1.1081950888001089,1.1081950888001089,-0.8449233731968333,-0.9372879520668866,0.18099677874119258,1.1182847308080792
A013,T1,IFR,-0.5856965,-0.6972882,1.0,-0.6805799905764923,0.1230680503344455,0.8036480409109379,0.8036480409109379,-0.6310833731968333,-0.6992344876088532,0.10603610021762738,0.8052705878264805
A013,T2,IFR,-0.4070654,-0.6062502,24.77,-0.4879386415597592,0.2746606565019364,0.7625992980616956,0.7625992980616956,-0.45245227319683334,-0.5003766863791983,0.25973103441853834,0.7601077207977367
A013,T3,IFR,0.7922385,-0.7212178,79.66,0.8054280856060552,0.0832214980316095,-0.7222065875744457,0.7222065875744457,0.7468516268031666,0.8347264203035124,0.06563694494780473,-0.7690894753557077
A013,T4,IFR,-1.0692434,-1.0883394,147.13,-1.2020520473955985,-0.528093778274758,0.6739582691208404,0.6739582691208404,-1.1146302731968334,-1.2375342199926085,-0.5541562200572823,0.6833779999353262
A014,T1,IFR,0.18263546,-0.3735988,1.0,0.1480131562331656,0.6620618741749451,0.5140487179417794,0.5140487179417794,0.13724858680316665,0.1560969982302375,0.6525048389259944,0.49640784069575694
A014,T2,IFR,1.2276359,-0.17555101,25.66,1.274974220038291,0.991842632010266,-0.283131588028025,0.283131588028025,1.1822490268031665,1.319424603459237,0.9868590871815119,-0.332565516277725
A014,T3,IFR,0.35754204,-0.57598865,70.56,0.336637866729284,0.3250509026757081,-0.0115869640535758,0.0115869640535758,0.3121551668031667,0.3508085457681452,0.310820106411196,-0.03998843935694918
A014,T4,IFR,-0.58439595,-0.8750866,148.87,-0.6791774368976329,-0.1729942843874288,0.5061831525102041,0.5061831525102041,-0.6297828231968333,-0.6977866741352239,-0.19413210854165153,0.5036545655935724
A015,T1,IFR,1.5247837,-0.068641454,1.0,1.5954276743883704,1.1698638782837922,-0.4255637961045782,0.4255637961045782,1.4793968268031665,1.6502189508501968,1.1673491811518166,-0.48286976969838014
A015,T2,IFR,1.7857077,-0.21705914,23.69,1.8768162531456083,0.9227250590864426,-0.954091194059166,0.954091194059166,1.7403208268031665,1.9406878161712213,0.9167829727111495,-1.023904843460072
A015,T3,IFR,1.7846233,-0.22687851,70.59,1.875646802367588,0.9063742617356344,-0.9692725406319532,0.9692725406319532,1.7392364268031666,1.9394806277272527,0.9002054179972455,-1.039275209730007
A015,T4,IFR,-0.09274579,-0.5862706,146.54,-0.148966571786839,0.3079298367803256,0.4568964085671647,0.4568964085671647,-0.13813266319683332,-0.15046613593214472,0.2934616008562953,0.44392773678844
