UID,TEST,Paradigm,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A058,T3,IFR,66.28,-0.0076611126,-0.67453474,-0.0572086022340033,0.160956144325172,0.13743840656488482
A058,T4,IFR,143.48,-0.8837645,-1.2803134,-1.0020258173038632,-0.8477607192927713,-0.14863854029107748
A059,T1,IFR,1.0,0.98924613,-0.75498015,1.0178872576639413,0.027001868570956,-0.3831119615367097
A059,T2,IFR,30.4,1.1210508,-0.533682,1.160029524242971,0.3954981371461037,-0.19700561472496997
A059,T3,IFR,79.78,1.5913445,-0.6213782,1.667208916868728,0.2494701542270424,-0.49725477867113754
A059,T4,IFR,151.93,0.5147332,-0.39551023,0.5061577158255789,0.6255758927325085,0.21768593404732214
A060,T1,IFR,1.0,0.089007095,-0.59167314,0.0470414075296583,0.2989337569178053,0.1866129363609355
A060,T2,IFR,24.87,0.9243096,-0.5356161,0.947857678605952,0.3922775560745891,-0.11385017152218668
A060,T3,IFR,94.68,-0.42468035,-0.51016915,-0.5069351529783325,0.4346507350714238,0.49886580307050143
A060,T4,IFR,143.91,0.6639469,-0.0043468704,0.6670744232733756,1.276924484737994,0.5829531800452522
A061,T1,IFR,1.0,2.6159682,0.38957322,2.7721950687902948,1.9328634676404035,0.16978839550285407
A061,T2,IFR,35.16,0.83355284,-0.19454269,0.8499827582881133,0.9602184941041276,0.30038062691882156
A061,T3,IFR,82.55,0.720659,-0.19571824,0.728234520532878,0.9582610182349282,0.3480245573615862
A061,T4,IFR,146.56,-0.44061255,-0.36124137,-0.5241169343187844,0.6826389411055932,0.6694657524754544
A062,T1,IFR,1.0,1.5698215,-0.23546267,1.6439978424539865,0.8920802835489573,-0.06374652950638249
A062,T2,IFR,44.69,0.29121718,-0.7131469,0.2651110693029346,0.0966608174929026,-0.03455673280625038
A062,T3,IFR,92.72,-0.99807596,-0.8465645,-1.125302860676895,-0.1255004963827518,0.37766667802955123
A062,T4,IFR,149.18,-1.3407863,-1.4831631,-1.494892379073094,-1.1855374134566772,-0.17349558789512398
A063,T1,IFR,1.0,1.0055077,-1.1761686,1.0354242418841024,-0.6743432271379337,-0.8531097375806302
A063,T2,IFR,21.98,0.5848471,-1.960452,0.5817707321526592,-1.9802985928083203,-1.532810550700967
A063,T3,IFR,69.99,-0.0073365774,-2.2781718,-0.0568586133533917,-2.509352092588785,-1.62533840886849
A063,T4,IFR,141.09,-1.0480841,-2.0773058,-1.1792331984031792,-2.174878571307131,-0.9534244407926772
A064,T1,IFR,1.0,0.9337908,-0.26722994,0.9580825003659784,0.8391827764626159,0.1770364083978186
A064,T2,IFR,37.65,1.0231495,-0.48492604,1.0544497091800178,0.4766844883686474,-0.10097832151329644
A064,T3,IFR,82.99,0.12078351,-0.5543253,0.0813100844426681,0.3611237918518599,0.2138896725814624
A064,T4,IFR,156.21,-0.82732314,-0.39566955,-0.9411576945036392,0.6253105998436643,0.7992512931011639
A065,T1,IFR,1.0,-1.6313238,-0.66037697,-1.8082170797548296,0.1845310608635398,0.8568081408028502
A065,T2,IFR,32.31,0.011327019,-1.3904742,-0.0367312089540467,-1.0311957988144624,-0.6577165412159653
A065,T3,IFR,106.41,-1.3355386,-2.1570559,-1.4892330957386966,-2.3076750464177223,-0.9164789317286396
A065,T4,IFR,187.43,-2.3671904,-1.7601811,-2.601798569878088,-1.6468160067397672,-0.03306479699799958
A066,T1,IFR,1.0,0.2606496,-0.535729,0.2321460377525667,0.3920895597957132,0.17370209540814902
A066,T2,IFR,23.35,-0.04822852,-0.467701,-0.1009577595064346,0.5053668924739582,0.3823642472252621
A066,T3,IFR,73.79,-0.73158157,-0.40296277,-0.8379069996258716,0.6131662400471741,0.7497339079267097
A066,T4,IFR,164.93,-1.053569,-1.5947227,-1.185148285614879,-1.3713017152537594,-0.4206161516093498
A067,T1,IFR,1.0,0.53448457,-0.41348854,0.5274582091983938,0.5956391754563485,0.18936347556695632
A067,T2,IFR,29.91,-1.4098325,-1.5664383,-1.5693539544229584,-1.3242037351807814,-0.23509802324591478
A067,T3,IFR,73.19,-1.5651689,-1.4050277,-1.7368735724928404,-1.055429668120231,0.009649873105969098
A067,T4,IFR,144.19,-1.2525647,-1.4525421,-1.399751454360574,-1.1345486264286808,-0.17807991690133507
A068,T1,IFR,1.0,1.1313976,0.11658433,1.1711878360375372,1.4782939769895715,0.5132489772846112
A068,T2,IFR,30.49,-0.6020199,-0.330725,-0.6981836541968797,0.7334535027070281,0.7729729528210891
A068,T3,IFR,82.98,0.8178577,-0.25759494,0.8330566298445977,0.8552265687298425,0.23788017100223402
A068,T4,IFR,155.59,-0.18029927,-0.70293117,-0.2433869750554164,0.1136716166603208,0.1810598715292892
A069,T1,IFR,1.0,-0.9453881,-0.6996831,-1.0684826293330538,0.1190801646986613,0.5162726484951385
A069,T2,IFR,24.96,-1.0803355,-1.257218,-1.2140141139530372,-0.8093032413551993,-0.0380457226311805
A069,T3,IFR,79.75,-0.40901044,-1.7944096,-0.4900362333536377,-1.7038118493571794,-0.9194982860101095
A069,T4,IFR,140.22,-1.3295189,-1.2702085,-1.482741263528762,-0.8309344695282567,0.05568918271521628
A070,T1,IFR,1.0,-0.19590467,-0.4885555,-0.2602163250843068,0.4706408659210908,0.4234551487451247
A070,T2,IFR,24.25,0.001917907,-0.48345467,-0.0468782887667419,0.4791345511219665,0.34331166985504874
A070,T3,IFR,81.92,-0.6862198,-1.136438,-0.7889874522089505,-0.608185521579836,-0.07612763221440144
A070,T4,IFR,149.2,-0.76803863,-1.5061575,-0.8772234300771423,-1.22382671048932,-0.4470385002998898
A071,T1,IFR,1.0,0.8231066,-0.14729317,0.8387172072964184,1.03889638550072,0.3568430179059566
A071,T2,IFR,30.92,0.7234464,-0.75863385,0.7312405396205354,0.0209178827062162,-0.27191184933966084
A071,T3,IFR,79.96,-0.8875053,-1.0469285,-1.006060012684185,-0.4591381086121847,0.1095077717862003
