metric,value
accuracy_F,0.11837075388778559
accuracy_p,0.8883770237481052
original_F,1.3476141165511426
original_p,0.2602534771684846
original_IFR,0.021686499427467375
original_ICR,-0.062042536595686634
original_IRE,0.04035603716821901
ancova_p,0.27485380071011567
ancova_IFR,-0.05384126700818197
ancova_ICR,
ancova_IRE,0.03356815495478187
within_F,1.2450403078683772e-30
within_p,1.0
within_IFR,1.1435297153639113e-16
within_ICR,9.46465128492946e-17
within_IRE,1.3045120539345589e-17
diff_orig_ICR_IFR,-0.08372903602315401
diff_ancova_ICR_IFR,
diff_within_ICR_IFR,-1.9706458687096528e-17
methods_agree,True
direction_consistent,True
robustness,ROBUST
