term,statistic,df,p_uncorrected,p_bonferroni,interpretation
Paradigm_main,7.827708646813335,2,0.01996340715722189,0.03992681431444378,significant
Paradigm_x_Time_interaction,0.2757218417500553,2,0.8712198518148337,1.0,not significant
