contrast,observed_d,power_uncorrected,power_bonferroni,n_required_pairs,sample_multiplier,mde_uncorrected,mde_bonferroni,n_pairs_current
IRE vs IFR,0.0199598919911769,0.06835811206958721,0.025576599011630487,10000,25.0,0.14009057617187498,0.16254028320312497,400
ICR vs IFR,-0.0901873561918093,0.4363056397197119,0.27536567243731214,1290,3.225,0.14009057617187498,0.16254028320312497,400
IRE vs ICR,0.1072528589173113,0.5714162322926842,0.39873760555304727,913,2.2825,0.14009057617187498,0.16254028320312497,400
