Paradigm,TEST,TSVR_hours,mean_calibration,CI_lower,CI_upper
ICR,T1,1.0,-0.12681342445586208,-0.3112006192023279,0.057573770290603704
ICR,T2,28.769699999999997,-0.11677043389003444,-0.3169749647356417,0.08343409695557277
ICR,T3,78.6681,-0.010625446196335224,-0.17916912385715356,0.15791823146448308
ICR,T4,151.3752,0.006039158159485247,-0.183887418004314,0.19596573432328449
IFR,T1,1.0,-0.08002452113405542,-0.2467524452138336,0.08670340294572276
IFR,T2,28.769699999999997,0.008527362042819833,-0.1800622348119497,0.19711695889758937
IFR,T3,78.6681,0.08151910526206727,-0.09133915056186967,0.2543773610860042
IFR,T4,151.3752,0.07672405153903783,-0.10730124655202802,0.26074934963010366
IRE,T1,1.0,-0.050197174453692685,-0.23212431801790925,0.1317299691105239
IRE,T2,28.769699999999997,-0.0017868339858098964,-0.19023187597812957,0.18665820800650978
IRE,T3,78.6681,0.08196175390030676,-0.09394550214523444,0.25786900994584794
IRE,T4,151.3752,0.13144640321207185,-0.07546106309864872,0.33835386952279245
