days,difference,se,ci_lower,ci_upper,sig
5.413568,-0.121004,0.021008,-0.162179,-0.079829,1
5.465126,-0.121220,0.021108,-0.162591,-0.079848,1
5.516683,-0.121434,0.021210,-0.163006,-0.079862,1
5.568241,-0.121647,0.021315,-0.163424,-0.079871,1
5.619799,-0.121860,0.021422,-0.163846,-0.079873,1
5.671357,-0.122071,0.021531,-0.164272,-0.079869,1
5.722915,-0.122281,0.021644,-0.164702,-0.079859,1
5.774472,-0.122489,0.021758,-0.165136,-0.079843,1
5.826030,-0.122697,0.021876,-0.165574,-0.079820,1
5.877588,-0.122903,0.021996,-0.166016,-0.079791,1
5.929146,-0.123109,0.022119,-0.166463,-0.079755,1
5.980704,-0.123313,0.022245,-0.166914,-0.079713,1
6.032261,-0.123517,0.022374,-0.167370,-0.079664,1
6.083819,-0.123719,0.022506,-0.167830,-0.079608,1
6.135377,-0.123921,0.022640,-0.168296,-0.079545,1
6.186935,-0.124121,0.022778,-0.168766,-0.079476,1
6.238492,-0.124320,0.022919,-0.169242,-0.079399,1
6.290050,-0.124519,0.023063,-0.169723,-0.079315,1
6.341608,-0.124717,0.023210,-0.170209,-0.079224,1
6.393166,-0.124913,0.023361,-0.170700,-0.079126,1
6.444724,-0.125109,0.023515,-0.171198,-0.079021,1
6.496281,-0.125304,0.023672,-0.171700,-0.078908,1
6.547839,-0.125498,0.023832,-0.172209,-0.078787,1
6.599397,-0.125691,0.023996,-0.172723,-0.078660,1
6.650955,-0.125884,0.024163,-0.173243,-0.078525,1
6.702513,-0.126076,0.024334,-0.173769,-0.078382,1
6.754070,-0.126267,0.024508,-0.174302,-0.078232,1
6.805628,-0.126457,0.024685,-0.174840,-0.078074,1
6.857186,-0.126647,0.024866,-0.175384,-0.077909,1
6.908744,-0.126835,0.025051,-0.175935,-0.077736,1
6.960302,-0.127024,0.025239,-0.176492,-0.077555,1
7.011859,-0.127211,0.025431,-0.177056,-0.077367,1
7.063417,-0.127398,0.025626,-0.177626,-0.077171,1
7.114975,-0.127585,0.025825,-0.178203,-0.076967,1
7.166533,-0.127771,0.026028,-0.178786,-0.076756,1
7.218090,-0.127957,0.026234,-0.179376,-0.076537,1
7.269648,-0.128142,0.026444,-0.179973,-0.076311,1
7.321206,-0.128326,0.026658,-0.180576,-0.076077,1
7.372764,-0.128510,0.026875,-0.181186,-0.075835,1
7.424322,-0.128694,0.027096,-0.181803,-0.075585,1
7.475879,-0.128878,0.027321,-0.182427,-0.075328,1
7.527437,-0.129061,0.027549,-0.183058,-0.075064,1
7.578995,-0.129244,0.027782,-0.183696,-0.074792,1
7.630553,-0.129427,0.028017,-0.184341,-0.074512,1
7.682111,-0.129609,0.028257,-0.184993,-0.074225,1
7.733668,-0.129791,0.028500,-0.185652,-0.073931,1
7.785226,-0.129973,0.028747,-0.186318,-0.073629,1
7.836784,-0.130156,0.028998,-0.186991,-0.073320,1
7.888342,-0.130338,0.029252,-0.187672,-0.073003,1
7.939899,-0.130520,0.029510,-0.188360,-0.072679,1
7.991457,-0.130702,0.029772,-0.189055,-0.072348,1
8.043015,-0.130884,0.030038,-0.189758,-0.072009,1
8.094573,-0.131066,0.030307,-0.190468,-0.071663,1
8.146131,-0.131248,0.030581,-0.191186,-0.071310,1
8.197688,-0.131431,0.030857,-0.191911,-0.070950,1
8.249246,-0.131613,0.031138,-0.192644,-0.070583,1
8.300804,-0.131796,0.031423,-0.193384,-0.070208,1
8.352362,-0.131979,0.031711,-0.194133,-0.069826,1
8.403920,-0.132163,0.032003,-0.194889,-0.069437,1
8.455477,-0.132347,0.032299,-0.195653,-0.069041,1
8.507035,-0.132532,0.032599,-0.196425,-0.068638,1
8.558593,-0.132716,0.032902,-0.197205,-0.068228,1
8.610151,-0.132902,0.033210,-0.197993,-0.067811,1
8.661709,-0.133088,0.033521,-0.198790,-0.067386,1
8.713266,-0.133275,0.033837,-0.199596,-0.066954,1
8.764824,-0.133462,0.034157,-0.200410,-0.066515,1
8.816382,-0.133651,0.034480,-0.201232,-0.066069,1
