days,difference,se,ci_lower,ci_upper,sig
5.619799,-0.030069,0.016834,-0.063062,0.002925,0
5.671357,-0.030497,0.017017,-0.063851,0.002856,0
5.722915,-0.030925,0.017207,-0.064650,0.002801,0
5.774472,-0.031351,0.017403,-0.065461,0.002759,0
5.826030,-0.031775,0.017605,-0.066280,0.002730,0
5.877588,-0.032197,0.017812,-0.067108,0.002714,0
5.929146,-0.032617,0.018023,-0.067943,0.002708,0
5.980704,-0.033035,0.018239,-0.068783,0.002714,0
6.032261,-0.033450,0.018458,-0.069628,0.002729,0
6.083819,-0.033862,0.018681,-0.070477,0.002753,0
6.135377,-0.034271,0.018907,-0.071328,0.002786,0
6.186935,-0.034677,0.019134,-0.072181,0.002826,0
6.238492,-0.035080,0.019364,-0.073034,0.002874,0
6.290050,-0.035479,0.019595,-0.073886,0.002928,0
6.341608,-0.035874,0.019828,-0.074737,0.002988,0
6.393166,-0.036266,0.020061,-0.075586,0.003054,0
6.444724,-0.036653,0.020295,-0.076431,0.003125,0
6.496281,-0.037036,0.020529,-0.077273,0.003200,0
6.547839,-0.037415,0.020763,-0.078110,0.003279,0
6.599397,-0.037790,0.020996,-0.078942,0.003363,0
6.650955,-0.038159,0.021229,-0.079769,0.003450,0
6.702513,-0.038524,0.021461,-0.080589,0.003540,0
6.754070,-0.038884,0.021693,-0.081402,0.003633,0
6.805628,-0.039239,0.021923,-0.082209,0.003730,0
6.857186,-0.039589,0.022152,-0.083007,0.003829,0
6.908744,-0.039934,0.022380,-0.083799,0.003931,0
6.960302,-0.040273,0.022607,-0.084582,0.004036,0
7.011859,-0.040607,0.022832,-0.085358,0.004143,0
7.063417,-0.040936,0.023056,-0.086125,0.004254,0
7.114975,-0.041258,0.023279,-0.086885,0.004368,0
7.166533,-0.041575,0.023500,-0.087636,0.004485,0
7.218090,-0.041887,0.023721,-0.088380,0.004606,0
7.269648,-0.042193,0.023940,-0.089116,0.004731,0
7.321206,-0.042492,0.024159,-0.089844,0.004860,0
7.372764,-0.042786,0.024377,-0.090566,0.004993,0
7.424322,-0.043074,0.024595,-0.091281,0.005132,0
7.475879,-0.043357,0.024812,-0.091989,0.005276,0
7.527437,-0.043633,0.025030,-0.092692,0.005426,0
7.578995,-0.043903,0.025248,-0.093390,0.005583,0
7.630553,-0.044168,0.025467,-0.094083,0.005747,0
7.682111,-0.044426,0.025687,-0.094772,0.005919,0
7.733668,-0.044679,0.025908,-0.095458,0.006100,0
7.785226,-0.044926,0.026131,-0.096142,0.006290,0
7.836784,-0.045167,0.026356,-0.096824,0.006490,0
7.888342,-0.045402,0.026583,-0.097505,0.006701,0
7.939899,-0.045631,0.026814,-0.098187,0.006924,0
7.991457,-0.045855,0.027048,-0.098870,0.007159,0
8.043015,-0.046074,0.027286,-0.099555,0.007408,0
8.094573,-0.046286,0.027529,-0.100243,0.007671,0
8.146131,-0.046494,0.027777,-0.100936,0.007949,0
8.197688,-0.046696,0.028030,-0.101634,0.008242,0
8.249246,-0.046893,0.028289,-0.102338,0.008553,0
8.300804,-0.047084,0.028554,-0.103050,0.008882,0
8.352362,-0.047271,0.028827,-0.103771,0.009229,0
8.403920,-0.047453,0.029106,-0.104502,0.009595,0
8.455477,-0.047631,0.029394,-0.105244,0.009982,0
8.507035,-0.047804,0.029691,-0.105997,0.010390,0
8.558593,-0.047972,0.029996,-0.106764,0.010820,0
8.610151,-0.048136,0.030311,-0.107546,0.011273,0
8.661709,-0.048297,0.030636,-0.108343,0.011750,0
8.713266,-0.048453,0.030971,-0.109157,0.012251,0
8.764824,-0.048606,0.031318,-0.109989,0.012777,0
8.816382,-0.048756,0.031676,-0.110840,0.013328,0
8.867940,-0.048903,0.032045,-0.111711,0.013906,0
8.919497,-0.049046,0.032427,-0.112603,0.014511,0
8.971055,-0.049187,0.032822,-0.113518,0.015143,0
9.022613,-0.049326,0.033229,-0.114456,0.015804,0
9.074171,-0.049463,0.033651,-0.115418,0.016492,0
9.125729,-0.049598,0.034086,-0.116406,0.017210,0
9.177286,-0.049731,0.034535,-0.117420,0.017957,0
9.228844,-0.049864,0.034999,-0.118462,0.018734,0
9.280402,-0.049996,0.035478,-0.119533,0.019541,0
9.331960,-0.050128,0.035973,-0.120634,0.020378,0
9.383518,-0.050260,0.036483,-0.121767,0.021247,0
9.435075,-0.050393,0.037010,-0.122932,0.022146,0
9.486633,-0.050527,0.037554,-0.124132,0.023078,0
9.538191,-0.050663,0.038115,-0.125368,0.024042,0
9.589749,-0.050802,0.038694,-0.126643,0.025039,0
9.641307,-0.050944,0.039293,-0.127958,0.026070,0
9.692864,-0.051090,0.039912,-0.129317,0.027137,0
9.744422,-0.051242,0.040552,-0.130724,0.028240,0
9.795980,-0.051401,0.041216,-0.132184,0.029382,0
9.847538,-0.051568,0.041905,-0.133702,0.030567,0
9.899095,-0.051745,0.042624,-0.135288,0.031797,0
9.950653,-0.051936,0.043376,-0.136953,0.033081,0
10.002211,-0.052144,0.044169,-0.138715,0.034427,0
10.053769,-0.052374,0.045012,-0.140598,0.035850,0
10.105327,-0.052634,0.045923,-0.142644,0.037376,0
10.156884,-0.052939,0.046931,-0.144923,0.039046,0
10.208442,-0.053312,0.048093,-0.147575,0.040951,0
10.260000,-0.053810,0.049546,-0.150921,0.043300,0
