term,estimate,SE,z,p_value
Intercept,0.019503924837215324,0.07606626357956119,0.2564070314406238,0.7976365589981433
C(Paradigm)[T.ICR],-0.083729036023154,0.03960896634487198,-2.1138909633271474,0.034524581240452434
C(Paradigm)[T.IRE],0.018669537740751623,0.03960896634487199,0.4713462496899693,0.6373934931172283
TSVR_centered,0.0009493787594122444,0.0006659290355212163,1.425645539947323,0.15397068394141655
C(Paradigm)[T.ICR]:TSVR_centered,1.75369965692337e-05,0.000679601491107804,0.02580482356012347,0.9794130144867426
C(Paradigm)[T.IRE]:TSVR_centered,0.00031746065055202814,0.000679601491107804,0.4671276545237449,0.6404085496608845
